Kinase,Compound,Predicted_Kd_Category
PCTK3,CEP-701,<3000nM
EGFR(T790M),JNJ-28312141,<3000nM
PAK7,Vandetanib,>3000nM
NIM1,BIRB-796,>3000nM
TYK2(JH2domain-pseudokinase),Lapatinib,>3000nM
PFTAIRE2,R547,>3000nM
MLK3,BI-2536,>3000nM
IKK-alpha,Ki-20227,>3000nM
NEK9,ABT-869,>3000nM
TAOK2,SB-203580,>3000nM
CDK3,AZD-1152HQPA,>3000nM
RIPK5,KW-2449,<3000nM
MAP4K2,HKI-272,<3000nM
EGFR(E746-A750del),PTK-787,>3000nM
NEK7,AZD-2171,>3000nM
TYRO3,PHA-665752,>3000nM
TNIK,AZD-6244/ARRY-886,>3000nM
CDKL1,ABT-869,>3000nM
CDK4-cyclinD1,ABT-869,>3000nM
STK39,AT-7519,>3000nM
RSK3(Kin.Dom.1-N-terminal),Flavopiridol,<3000nM
TGFBR2,Dasatinib,>3000nM
KIT(V559D),GDC-0879,>3000nM
ABL1(E255K)-phosphorylated,R547,>3000nM
STK39,INCB18424,>3000nM
MST4,PKC-412,<3000nM
MINK,BMS-387032/SNS-032,>3000nM
STK39,R547,>3000nM
MARK1,GW-2580,>3000nM
CLK3,Gefitinib,>3000nM
TRKB,TAE-684,<3000nM
ANKK1,BIRB-796,>3000nM
BMPR2,PTK-787,>3000nM
EGFR(L861Q),R547,>3000nM
RET(M918T),PTK-787,>3000nM
HCK,GW-2580,>3000nM
ABL1(H396P)-nonphosphorylated,BMS-540215,<3000nM
MYO3B,AC220,>3000nM
MYLK2,CHIR-258/TKI-258,<3000nM
HIPK2,BIBW-2992,>3000nM
JNK2,CP-690550,>3000nM
TAK1,Dasatinib,<3000nM
PLK2,Pazopanib,>3000nM
CSF1R,GDC-0879,>3000nM
CIT,LY-333531,<3000nM
PIK3CA,Nilotinib,>3000nM
YSK1,AZD-6244/ARRY-886,>3000nM
RSK4(Kin.Dom.2-C-terminal),AZD-1152HQPA,>3000nM
PFTK1,BIBW-2992,>3000nM
DAPK3,LY-317615,>3000nM
KIT(A829P),TAE-684,<3000nM
PKMYT1,A-674563,>3000nM
TYK2(JH1domain-catalytic),MLN-8054,>3000nM
PIK3CA(E545K),Flavopiridol,>3000nM
CAMK1,GDC-0941,>3000nM
ERK1,Dasatinib,>3000nM
"KIT(V559D,V654A)",A-674563,<3000nM
CSNK1A1,BI-2536,>3000nM
MST4,Imatinib,>3000nM
NDR2,AZD-1152HQPA,>3000nM
RSK2(Kin.Dom.1-N-terminal),BIBW-2992,>3000nM
MET(Y1235D),BIRB-796,>3000nM
CAMK1,A-674563,<3000nM
NEK6,R406,<3000nM
EPHA2,GW-2580,>3000nM
EPHB6,AST-487,<3000nM
MKNK1,CI-1033,>3000nM
PLK2,AZD-1152HQPA,>3000nM
AMPK-alpha1,CHIR-258/TKI-258,>3000nM
JNK1,KW-2449,<3000nM
PAK7,BIBW-2992,>3000nM
PIM2,AC220,>3000nM
BMPR1A,Dasatinib,>3000nM
NIM1,BMS-540215,>3000nM
JAK1(JH2domain-pseudokinase),PLX-4720,>3000nM
"KIT(V559D,V654A)",GSK-1838705A,>3000nM
ALK,AZD-2171,<3000nM
MARK1,BMS-345541,>3000nM
PFCDPK1(P.falciparum),BI-2536,>3000nM
EPHA3,Dasatinib,<3000nM
FLT3(N841I),PD-173955,<3000nM
SIK2,TG-101348,<3000nM
AMPK-alpha2,R406,<3000nM
NEK9,Crizotinib,>3000nM
SNRK,MLN-8054,>3000nM
CDK7,SGX-523,>3000nM
MET(M1250T),GDC-0941,>3000nM
PRKD2,PP-242,>3000nM
AKT1,Lapatinib,>3000nM
PIP5K2B,Gefitinib,>3000nM
DLK,PTK-787,>3000nM
PKN1,HKI-272,>3000nM
EGFR(G719S),LY-317615,>3000nM
ABL1(Q252H)-phosphorylated,KW-2449,<3000nM
CDK5,AB-1010,>3000nM
MEK2,BIBW-2992,>3000nM
CDK3,BMS-387032/SNS-032,>3000nM
CSK,AZD-6244/ARRY-886,>3000nM
CSNK1D,GW-2580,>3000nM
CLK2,Ki-20227,>3000nM
CAMK1D,INCB18424,>3000nM
KIT(L576P),AZD-1152HQPA,<3000nM
CSNK1A1,PKC-412,>3000nM
PRKR,Crizotinib,>3000nM
CHEK1,ABT-869,>3000nM
CAMK1D,ABT-869,>3000nM
MAST1,HKI-272,>3000nM
CDK4-cyclinD1,PLX-4720,>3000nM
EPHA4,ABT-869,<3000nM
ABL1(H396P)-nonphosphorylated,Lapatinib,>3000nM
RET,GDC-0879,>3000nM
CSK,CI-1033,>3000nM
AKT3,Imatinib,>3000nM
DCAMKL1,GW-2580,>3000nM
BRSK2,Crizotinib,>3000nM
ZAP70,PLX-4720,>3000nM
EPHA3,R406,<3000nM
STK35,AB-1010,>3000nM
BRK,CEP-701,<3000nM
TYK2(JH2domain-pseudokinase),AT-7519,>3000nM
MELK,GDC-0941,>3000nM
MAST1,AB-1010,>3000nM
PIK3CA(E542K),PLX-4720,>3000nM
"EGFR(L858R,T790M)",INCB18424,>3000nM
FGR,TAE-684,<3000nM
DAPK3,Staurosporine,<3000nM
KIT(D816V),Crizotinib,<3000nM
TAOK1,PLX-4720,>3000nM
RET,AZD-2171,<3000nM
INSR,SB-203580,>3000nM
MRCKA,TAE-684,<3000nM
LRRK2(G2019S),BIBW-2992,>3000nM
NLK,Gefitinib,>3000nM
LRRK2(G2019S),LY-317615,>3000nM
MEK6,BMS-345541,>3000nM
ADCK4,LY-333531,>3000nM
PIK3CA(C420R),INCB18424,>3000nM
ABL1(T315I)-nonphosphorylated,Ki-20227,<3000nM
FYN,Flavopiridol,<3000nM
ABL1-phosphorylated,ABT-869,>3000nM
PIK3CA(C420R),MLN-8054,>3000nM
S6K1,BMS-345541,>3000nM
PIK3CA(E542K),Crizotinib,>3000nM
MEK5,BMS-387032/SNS-032,<3000nM
YANK1,KW-2449,<3000nM
EPHB2,AG-013736,>3000nM
PIK3CA(C420R),Pazopanib,>3000nM
PIP5K2C,ABT-869,>3000nM
MET,CI-1033,<3000nM
CDC2L1,CEP-701,<3000nM
PCTK1,GDC-0941,>3000nM
PIK3CA,Staurosporine,>3000nM
"EGFR(L747-T751del,Sins)",PLX-4720,>3000nM
FLT3(D835H),PLX-4720,<3000nM
CASK,BMS-387032/SNS-032,>3000nM
MAPKAPK5,LY-333531,>3000nM
TRKC,Ki-20227,>3000nM
PIK3CA(H1047L),ABT-869,>3000nM
PRKG1,LY-333531,>3000nM
TLK2,AG-013736,>3000nM
GRK4,MLN-518,>3000nM
ERK5,AT-7519,>3000nM
ADCK4,Crizotinib,>3000nM
CDK2,AT-7519,>3000nM
"EGFR(L747-T751del,Sins)",Vandetanib,<3000nM
ACVR2A,PLX-4720,>3000nM
ABL1(M351T)-phosphorylated,PD-173955,<3000nM
NEK3,SGX-523,>3000nM
ZAP70,CP-690550,>3000nM
PCTK2,TG-101348,<3000nM
ACVR2B,HKI-272,>3000nM
KIT(V559D),R406,<3000nM
ULK1,JNJ-28312141,<3000nM
SGK3,AZD-2171,>3000nM
JAK3(JH1domain-catalytic),BIRB-796,>3000nM
SBK1,TAE-684,<3000nM
ERK3,CHIR-258/TKI-258,>3000nM
RIOK1,Staurosporine,<3000nM
MYLK,PHA-665752,>3000nM
NEK7,Vandetanib,>3000nM
p38-gamma,BMS-387032/SNS-032,>3000nM
PLK4,GDC-0941,>3000nM
IRAK3,BIRB-796,>3000nM
DAPK3,JNJ-28312141,<3000nM
"EGFR(L747-T751del,Sins)",SGX-523,>3000nM
RSK2(Kin.Dom.1-N-terminal),PHA-665752,>3000nM
LIMK2,CHIR-258/TKI-258,<3000nM
TLK1,AZD-2171,>3000nM
JNK2,Nilotinib,>3000nM
BMX,Ki-20227,>3000nM
PRKCE,Flavopiridol,>3000nM
NEK4,R406,<3000nM
PFCDPK1(P.falciparum),Staurosporine,<3000nM
LIMK2,LY-333531,>3000nM
SRPK2,CI-1033,>3000nM
STK39,AG-013736,>3000nM
CDK5,R406,<3000nM
PIP5K2C,CEP-701,<3000nM
RSK1(Kin.Dom.2-C-terminal),Imatinib,>3000nM
PCTK3,CI-1033,>3000nM
CSNK1E,PD-173955,<3000nM
CSNK1A1,AZD-2171,>3000nM
MEK2,CEP-701,<3000nM
JNK2,GSK-690693,>3000nM
FLT3(D835H),BMS-540215,>3000nM
FYN,Vandetanib,<3000nM
CSNK1G1,Nilotinib,>3000nM
PIK3CB,Ki-20227,>3000nM
MKNK1,MLN-120B,>3000nM
PIK3CB,Imatinib,>3000nM
PYK2,CHIR-265/RAF-265,>3000nM
AMPK-alpha2,Crizotinib,>3000nM
HCK,MLN-8054,<3000nM
HIPK3,BMS-540215,>3000nM
TYRO3,CI-1033,>3000nM
DYRK1B,AG-013736,<3000nM
EPHB1,R547,>3000nM
FLT1,HKI-272,>3000nM
DDR2,Staurosporine,<3000nM
PLK2,GDC-0879,>3000nM
PIK3CA(Q546K),Ki-20227,>3000nM
SNRK,GSK-690693,>3000nM
PFTK1,CI-1033,>3000nM
TEC,PD-173955,<3000nM
BRK,BMS-345541,>3000nM
SIK2,Vandetanib,>3000nM
LOK,KW-2449,<3000nM
RPS6KA5(Kin.Dom.1-N-terminal),Ki-20227,>3000nM
PRKG1,ABT-869,>3000nM
RIOK3,CHIR-258/TKI-258,<3000nM
NEK2,AZD-6244/ARRY-886,>3000nM
EPHB2,GSK-690693,>3000nM
MRCKB,AC220,>3000nM
MAP3K1,AZD-2171,>3000nM
ADCK3,PKC-412,>3000nM
YSK1,Staurosporine,<3000nM
FLT3(D835H),LY-317615,<3000nM
ADCK4,Pazopanib,>3000nM
CDK4-cyclinD1,PP-242,>3000nM
MARK4,CP-690550,>3000nM
ABL1(E255K)-phosphorylated,PLX-4720,<3000nM
MAP4K2,Vandetanib,<3000nM
MAPKAPK5,CHIR-265/RAF-265,>3000nM
PKN2,KW-2449,<3000nM
MAPKAPK5,CEP-701,<3000nM
ACVR2B,PKC-412,<3000nM
TNK2,TG-101348,<3000nM
DMPK2,CP-690550,>3000nM
TNIK,R547,>3000nM
PIK3CA(E545A),Ki-20227,>3000nM
CLK3,Erlotinib,>3000nM
PFTAIRE2,INCB18424,>3000nM
"GCN2(Kin.Dom.2,S808G)",CEP-701,<3000nM
ROS1,BI-2536,>3000nM
GSK3B,Imatinib,>3000nM
MAPKAPK5,ABT-869,>3000nM
IRAK1,R406,<3000nM
CIT,Nilotinib,>3000nM
CAMK4,CP-690550,>3000nM
"KIT(V559D,V654A)",CHIR-258/TKI-258,<3000nM
RPS6KA4(Kin.Dom.1-N-terminal),PD-173955,>3000nM
MET(M1250T),LY-333531,>3000nM
EPHB4,MLN-518,>3000nM
AKT1,KW-2449,>3000nM
MEK3,Staurosporine,<3000nM
JNK3,AST-487,<3000nM
ERBB3,MLN-518,>3000nM
ACVR1B,LY-317615,>3000nM
YSK1,CHIR-265/RAF-265,>3000nM
EGFR,Ki-20227,>3000nM
AMPK-alpha2,AT-7519,>3000nM
MKNK1,AZD-6244/ARRY-886,>3000nM
CLK3,AZD-2171,>3000nM
ABL1(M351T)-phosphorylated,Nilotinib,<3000nM
FLT3(D835H),GSK-690693,>3000nM
EPHA1,LY-333531,>3000nM
IKK-alpha,CEP-701,<3000nM
LATS2,AZD-1152HQPA,>3000nM
EPHA3,AZD-1152HQPA,<3000nM
TEC,PKC-412,>3000nM
EPHA5,Gefitinib,<3000nM
CDKL2,CI-1033,>3000nM
DDR2,LY-333531,>3000nM
LATS2,BMS-387032/SNS-032,>3000nM
ABL1-phosphorylated,Lapatinib,>3000nM
DRAK1,GSK-1838705A,>3000nM
MAP3K4,Crizotinib,>3000nM
p38-beta,AZD-6244/ARRY-886,>3000nM
EPHA7,Crizotinib,<3000nM
SgK110,Nilotinib,>3000nM
CLK1,CI-1033,>3000nM
NIM1,Flavopiridol,>3000nM
MYLK,GSK-690693,>3000nM
DAPK1,Dasatinib,>3000nM
MYO3B,Staurosporine,<3000nM
MARK3,BMS-387032/SNS-032,>3000nM
MAP4K3,R547,>3000nM
CDKL3,LY-317615,>3000nM
PRKCQ,Crizotinib,>3000nM
NEK7,Gefitinib,>3000nM
DCAMKL2,A-674563,>3000nM
KIT,CHIR-265/RAF-265,<3000nM
ITK,AB-1010,>3000nM
TRKC,CHIR-258/TKI-258,<3000nM
INSRR,LY-317615,>3000nM
PLK4,Lapatinib,>3000nM
IRAK4,AZD-1152HQPA,>3000nM
IRAK3,CI-1033,<3000nM
ASK1,R547,>3000nM
PIK4CB,R547,>3000nM
IRAK1,Pazopanib,<3000nM
RSK4(Kin.Dom.2-C-terminal),JNJ-28312141,>3000nM
PIK3C2B,Crizotinib,>3000nM
ERK8,PLX-4720,>3000nM
FLT3(ITD),PTK-787,>3000nM
STK36,Ki-20227,>3000nM
PRKD3,LY-333531,>3000nM
EPHA7,SB-203580,>3000nM
ABL1(F317L)-nonphosphorylated,AC220,>3000nM
FLT3(K663Q),AT-7519,>3000nM
PFTAIRE2,ABT-869,>3000nM
RIPK4,CP-690550,>3000nM
HIPK1,Nilotinib,>3000nM
CAMK1G,KW-2449,<3000nM
PLK1,BI-2536,>3000nM
HIPK3,Nilotinib,>3000nM
ERBB2,GSK-1838705A,>3000nM
FGR,CI-1033,<3000nM
WEE1,AC220,>3000nM
FAK,Imatinib,>3000nM
FES,Erlotinib,>3000nM
RSK1(Kin.Dom.1-N-terminal),Nilotinib,>3000nM
INSR,Flavopiridol,>3000nM
PKN2,AT-7519,>3000nM
PIK3CA(H1047L),CP-690550,>3000nM
ADCK3,PD-173955,>3000nM
MET(Y1235D),HKI-272,>3000nM
DYRK1B,MLN-8054,>3000nM
CASK,Flavopiridol,>3000nM
CAMK4,BIRB-796,>3000nM
MEK5,BI-2536,<3000nM
RET(V804L),GDC-0941,>3000nM
DYRK1A,LY-317615,<3000nM
CDC2L1,R547,>3000nM
p38-alpha,BMS-345541,>3000nM
MAPKAPK2,AST-487,>3000nM
TBK1,Lapatinib,>3000nM
TGFBR1,AZD-1152HQPA,>3000nM
CDK3,GDC-0879,>3000nM
DDR1,JNJ-28312141,<3000nM
FGFR2,BIBW-2992,>3000nM
PFTAIRE2,PHA-665752,>3000nM
JNK1,GSK-690693,>3000nM
"EGFR(L747-S752del, P753S)",PP-242,<3000nM
DYRK1B,BIRB-796,>3000nM
ABL1(F317I)-phosphorylated,GW-2580,>3000nM
KIT(A829P),PP-242,<3000nM
MERTK,INCB18424,>3000nM
FGFR3,GDC-0941,>3000nM
CDKL3,GSK-690693,>3000nM
PKN1,PLX-4720,>3000nM
FES,CP-690550,>3000nM
PIK3CA(E542K),R406,>3000nM
DYRK1A,MLN-518,>3000nM
PIK3CA(I800L),GW-2580,>3000nM
RIPK4,PD-173955,<3000nM
CAMK2G,BIBW-2992,>3000nM
LKB1,AZD-6244/ARRY-886,>3000nM
MYLK,AZD-6244/ARRY-886,>3000nM
FLT3(D835H),Nilotinib,>3000nM
CSF1R,PD-173955,<3000nM
ABL1(F317I)-nonphosphorylated,BMS-345541,>3000nM
SRC,AG-013736,<3000nM
EGFR(G719C),Dasatinib,<3000nM
ABL1(F317I)-nonphosphorylated,A-674563,>3000nM
PIK3CA(M1043I),GDC-0879,>3000nM
MEK1,SB-203580,>3000nM
MTOR,MLN-8054,>3000nM
DYRK2,Pazopanib,>3000nM
MLCK,Dasatinib,>3000nM
PRKG1,A-674563,>3000nM
ABL1(F317I)-phosphorylated,BIBW-2992,<3000nM
PRKR,TAE-684,<3000nM
ABL1(Y253F)-phosphorylated,R406,<3000nM
SBK1,PD-173955,>3000nM
NLK,Ki-20227,>3000nM
AMPK-alpha2,AB-1010,>3000nM
IRAK4,Gefitinib,>3000nM
EGFR(L858R),CI-1033,<3000nM
ABL1(F317L)-phosphorylated,CHIR-258/TKI-258,<3000nM
MEK3,BI-2536,>3000nM
RPS6KA4(Kin.Dom.2-C-terminal),Dasatinib,>3000nM
CSNK2A2,TG-101348,<3000nM
CDK5,BMS-345541,>3000nM
EGFR(G719C),Ki-20227,>3000nM
PIP5K2C,CP-690550,>3000nM
LYN,Staurosporine,<3000nM
PIK3C2B,BIBW-2992,>3000nM
MRCKA,GSK-1838705A,>3000nM
MARK4,AB-1010,>3000nM
TNIK,BI-2536,>3000nM
AKT3,PLX-4720,>3000nM
PIK3CB,CHIR-258/TKI-258,>3000nM
SYK,INCB18424,>3000nM
BTK,PLX-4720,>3000nM
PAK7,BI-2536,>3000nM
MST4,AST-487,<3000nM
SRC,AZD-6244/ARRY-886,>3000nM
FLT3,GSK-1838705A,>3000nM
JAK1(JH2domain-pseudokinase),GDC-0941,>3000nM
PIK3CA(Q546K),AB-1010,>3000nM
MAP4K2,MLN-120B,>3000nM
FLT3(D835Y),PD-173955,<3000nM
FLT4,Flavopiridol,>3000nM
LATS1,Vandetanib,>3000nM
MET(M1250T),Gefitinib,>3000nM
GRK4,PTK-787,>3000nM
AXL,Imatinib,>3000nM
SRPK2,GSK-690693,>3000nM
RET(V804L),BIRB-796,<3000nM
ASK2,SGX-523,>3000nM
PFTAIRE2,CHIR-265/RAF-265,>3000nM
PAK2,MLN-8054,>3000nM
"EGFR(L858R,T790M)",LY-333531,>3000nM
TGFBR1,AZD-6244/ARRY-886,>3000nM
SLK,Imatinib,>3000nM
ERK8,Lapatinib,>3000nM
NDR1,KW-2449,>3000nM
HPK1,GW-2580,>3000nM
ICK,MLN-518,>3000nM
RET(V804M),LY-317615,>3000nM
RSK1(Kin.Dom.2-C-terminal),INCB18424,<3000nM
MEK5,GSK-690693,<3000nM
MARK1,KW-2449,<3000nM
MYO3A,Flavopiridol,>3000nM
NLK,MLN-518,>3000nM
CDK3,R406,<3000nM
KIT(D816V),CEP-701,<3000nM
KIT(D816V),AZD-6244/ARRY-886,>3000nM
ABL1(E255K)-phosphorylated,Ki-20227,<3000nM
TXK,CI-1033,>3000nM
BTK,AB-1010,>3000nM
STK39,Flavopiridol,>3000nM
PAK1,BIBW-2992,>3000nM
RIPK4,Nilotinib,>3000nM
MST1,Pazopanib,>3000nM
ERBB4,GW-2580,>3000nM
p38-gamma,AZD-1152HQPA,>3000nM
TNK1,Ki-20227,>3000nM
MST1,AZD-6244/ARRY-886,>3000nM
ERK2,CI-1033,>3000nM
ABL1(T315I)-nonphosphorylated,AT-7519,>3000nM
ABL1(Q252H)-phosphorylated,MLN-8054,<3000nM
NEK3,PD-173955,>3000nM
ACVRL1,BMS-387032/SNS-032,>3000nM
YSK1,Gefitinib,>3000nM
CDK5,Nilotinib,>3000nM
TSSK1B,Imatinib,>3000nM
SRMS,SB-203580,>3000nM
HIPK3,TAE-684,<3000nM
DDR2,LY-317615,>3000nM
CTK,LY-317615,>3000nM
MST3,Nilotinib,>3000nM
CTK,AG-013736,>3000nM
"EGFR(L747-T751del,Sins)",GSK-1838705A,>3000nM
MYO3A,AZD-1152HQPA,>3000nM
TRKA,PD-173955,<3000nM
TAK1,BMS-345541,>3000nM
ABL1-phosphorylated,AZD-6244/ARRY-886,>3000nM
MAP4K2,BIRB-796,>3000nM
ASK1,BIRB-796,>3000nM
LZK,GW-2580,>3000nM
FLT4,R547,>3000nM
DCAMKL2,SB-203580,>3000nM
TAOK2,GSK-1838705A,>3000nM
FLT3(ITD),AT-7519,>3000nM
RIPK2,HKI-272,<3000nM
HCK,PTK-787,>3000nM
SRPK3,R547,>3000nM
LCK,MLN-8054,<3000nM
PAK1,KW-2449,<3000nM
CDKL5,ABT-869,>3000nM
MST1R,ABT-869,>3000nM
CDK3,LY-333531,>3000nM
EPHB6,BMS-540215,<3000nM
ABL1(F317I)-phosphorylated,AZD-6244/ARRY-886,>3000nM
MAP4K4,R406,<3000nM
CASK,HKI-272,>3000nM
VRK2,SB-203580,>3000nM
KIT(V559D),Staurosporine,<3000nM
JAK1(JH1domain-catalytic),Crizotinib,<3000nM
PLK3,GSK-690693,>3000nM
TAOK1,SGX-523,>3000nM
NEK5,Gefitinib,>3000nM
PIK3CA(M1043I),CHIR-265/RAF-265,>3000nM
BRSK2,BMS-540215,>3000nM
PIP5K1A,JNJ-28312141,>3000nM
CAMK2B,Gefitinib,>3000nM
INSRR,CP-690550,>3000nM
INSR,BI-2536,>3000nM
ACVR2B,Vandetanib,>3000nM
MAP4K5,GDC-0941,>3000nM
SGK3,HKI-272,>3000nM
CDK5,SGX-523,>3000nM
LKB1,Nilotinib,>3000nM
ABL1-phosphorylated,BMS-345541,>3000nM
TNK2,AZD-6244/ARRY-886,>3000nM
EGFR,JNJ-28312141,<3000nM
"KIT(V559D,T670I)",CHIR-258/TKI-258,<3000nM
EPHA7,BMS-387032/SNS-032,>3000nM
KIT(A829P),LY-333531,>3000nM
ABL1(Q252H)-phosphorylated,PKC-412,<3000nM
CDK3,AZD-6244/ARRY-886,>3000nM
ERBB3,JNJ-28312141,<3000nM
MARK3,JNJ-28312141,>3000nM
YANK1,AG-013736,>3000nM
EPHA3,CHIR-265/RAF-265,>3000nM
CAMK2D,Ki-20227,>3000nM
MAP4K3,Crizotinib,<3000nM
ROS1,R406,<3000nM
EPHB6,AC220,>3000nM
CDKL2,GSK-690693,>3000nM
ACVR2A,BMS-345541,>3000nM
MTOR,SB-203580,>3000nM
NEK11,CP-690550,>3000nM
LATS2,CHIR-265/RAF-265,>3000nM
PKNB(M.tuberculosis),AZD-1152HQPA,>3000nM
NDR2,Vandetanib,>3000nM
ABL1(Y253F)-phosphorylated,AST-487,<3000nM
TYK2(JH1domain-catalytic),Dasatinib,<3000nM
PIK3CG,AC220,>3000nM
ERN1,TAE-684,<3000nM
RET(V804L),KW-2449,<3000nM
FLT3(K663Q),GW-2580,>3000nM
RIPK1,PD-173955,>3000nM
ABL1(M351T)-phosphorylated,BIBW-2992,<3000nM
TLK1,BMS-387032/SNS-032,>3000nM
YANK1,TG-101348,<3000nM
TGFBR2,AB-1010,>3000nM
PIK3CA,Gefitinib,>3000nM
"EGFR(L858R,T790M)",GDC-0941,>3000nM
PIK3CA(Q546K),Vandetanib,>3000nM
PRKG2,INCB18424,<3000nM
KIT(D816H),Gefitinib,<3000nM
MEK5,MLN-518,>3000nM
MST4,BMS-345541,>3000nM
PKAC-alpha,CHIR-258/TKI-258,>3000nM
LZK,A-674563,>3000nM
YANK2,TAE-684,>3000nM
CSNK1D,AZD-1152HQPA,>3000nM
NDR2,AB-1010,>3000nM
ABL1(F317L)-phosphorylated,Imatinib,<3000nM
PKAC-beta,HKI-272,>3000nM
RIOK3,BMS-540215,>3000nM
IKK-epsilon,Dasatinib,>3000nM
BRK,GW-2580,>3000nM
DYRK1B,AC220,>3000nM
EPHA4,GDC-0879,>3000nM
ABL1(F317I)-nonphosphorylated,BIBW-2992,<3000nM
MEK5,SB-203580,>3000nM
PYK2,Dasatinib,<3000nM
RET(V804L),ABT-869,<3000nM
RET(V804L),Gefitinib,<3000nM
FLT3(R834Q),GW-2580,>3000nM
YES,GDC-0941,>3000nM
PIK4CB,BIRB-796,>3000nM
EGFR(G719C),TAE-684,<3000nM
PAK2,R547,>3000nM
HIPK4,Lapatinib,>3000nM
JNK1,SGX-523,>3000nM
KIT(D816V),BIBW-2992,>3000nM
ABL1-phosphorylated,JNJ-28312141,<3000nM
