Kinase,Compound,Predicted_Kd_Category
SIK2,AMG-706,>300nM
SLK,AMG-706,>300nM
SNARK,AMG-706,>300nM
SNRK,AMG-706,>300nM
SRC,AMG-706,>300nM
SRMS,AMG-706,>300nM
SRPK1,AMG-706,>300nM
SRPK2,AMG-706,>300nM
SRPK3,AMG-706,>300nM
STK16,AMG-706,>300nM
STK33,AMG-706,>300nM
STK35,AMG-706,>300nM
STK36,AMG-706,>300nM
STK39,AMG-706,>300nM
SYK,AMG-706,>300nM
TAK1,AMG-706,>300nM
TAOK1,AMG-706,>300nM
TAOK2,AMG-706,>300nM
TAOK3,AMG-706,<300nM
TBK1,AMG-706,>300nM
TEC,AMG-706,>300nM
TESK1,AMG-706,>300nM
TGFBR1,AMG-706,>300nM
TGFBR2,AMG-706,>300nM
TIE1,AMG-706,>300nM
TIE2,AMG-706,>300nM
TLK1,AMG-706,>300nM
TLK2,AMG-706,>300nM
TNIK,AMG-706,>300nM
TNK1,AMG-706,>300nM
TNK2,AMG-706,>300nM
TNNI3K,AMG-706,>300nM
TRKA,AMG-706,>300nM
TRKB,AMG-706,>300nM
TRKC,AMG-706,>300nM
TRPM6,AMG-706,>300nM
TSSK1B,AMG-706,>300nM
TTK,AMG-706,>300nM
TXK,AMG-706,>300nM
TYK2(JH1domain-catalytic),AMG-706,>300nM
TYK2(JH2domain-pseudokinase),AMG-706,>300nM
TYRO3,AMG-706,>300nM
ULK1,AMG-706,>300nM
ULK2,AMG-706,>300nM
ULK3,AMG-706,>300nM
VEGFR2,AMG-706,<300nM
VRK2,AMG-706,>300nM
WEE1,AMG-706,>300nM
WEE2,AMG-706,>300nM
YANK1,AMG-706,>300nM
YANK2,AMG-706,>300nM
YANK3,AMG-706,>300nM
YES,AMG-706,>300nM
YSK1,AMG-706,>300nM
YSK4,AMG-706,<300nM
ZAK,AMG-706,>300nM
ZAP70,AMG-706,>300nM
AAK1,BIBF-1120 (derivative),>300nM
ABL1(E255K)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(F317I)-nonphosphorylated,BIBF-1120 (derivative),>300nM
ABL1(F317I)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(F317L)-nonphosphorylated,BIBF-1120 (derivative),>300nM
ABL1(F317L)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(H396P)-nonphosphorylated,BIBF-1120 (derivative),>300nM
ABL1(H396P)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(M351T)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(Q252H)-nonphosphorylated,BIBF-1120 (derivative),>300nM
ABL1(Q252H)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(T315I)-nonphosphorylated,BIBF-1120 (derivative),>300nM
ABL1(T315I)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1(Y253F)-phosphorylated,BIBF-1120 (derivative),>300nM
ABL1-nonphosphorylated,BIBF-1120 (derivative),>300nM
ABL1-phosphorylated,BIBF-1120 (derivative),>300nM
ABL2,BIBF-1120 (derivative),>300nM
ACVR1,BIBF-1120 (derivative),>300nM
ACVR1B,BIBF-1120 (derivative),>300nM
ACVR2A,BIBF-1120 (derivative),>300nM
ACVR2B,BIBF-1120 (derivative),>300nM
ACVRL1,BIBF-1120 (derivative),>300nM
ADCK3,BIBF-1120 (derivative),>300nM
ADCK4,BIBF-1120 (derivative),>300nM
AKT1,BIBF-1120 (derivative),>300nM
AKT2,BIBF-1120 (derivative),>300nM
AKT3,BIBF-1120 (derivative),>300nM
ALK,BIBF-1120 (derivative),>300nM
AMPK-alpha1,BIBF-1120 (derivative),>300nM
AMPK-alpha2,BIBF-1120 (derivative),>300nM
ANKK1,BIBF-1120 (derivative),>300nM
ARK5,BIBF-1120 (derivative),>300nM
ASK1,BIBF-1120 (derivative),>300nM
ASK2,BIBF-1120 (derivative),>300nM
AURKA,BIBF-1120 (derivative),>300nM
AURKB,BIBF-1120 (derivative),>300nM
AURKC,BIBF-1120 (derivative),<300nM
AXL,BIBF-1120 (derivative),>300nM
BIKE,BIBF-1120 (derivative),>300nM
BLK,BIBF-1120 (derivative),>300nM
BMPR1A,BIBF-1120 (derivative),>300nM
BMPR1B,BIBF-1120 (derivative),>300nM
BMPR2,BIBF-1120 (derivative),>300nM
BMX,BIBF-1120 (derivative),>300nM
BRAF,BIBF-1120 (derivative),>300nM
BRAF(V600E),BIBF-1120 (derivative),>300nM
BRK,BIBF-1120 (derivative),>300nM
BRSK1,BIBF-1120 (derivative),>300nM
BRSK2,BIBF-1120 (derivative),>300nM
BTK,BIBF-1120 (derivative),>300nM
CAMK1,BIBF-1120 (derivative),>300nM
CAMK1D,BIBF-1120 (derivative),>300nM
CAMK1G,BIBF-1120 (derivative),>300nM
CAMK2A,BIBF-1120 (derivative),>300nM
CAMK2B,BIBF-1120 (derivative),>300nM
CAMK2D,BIBF-1120 (derivative),>300nM
CAMK2G,BIBF-1120 (derivative),>300nM
CAMK4,BIBF-1120 (derivative),>300nM
CAMKK1,BIBF-1120 (derivative),>300nM
CAMKK2,BIBF-1120 (derivative),>300nM
CASK,BIBF-1120 (derivative),>300nM
CDC2L1,BIBF-1120 (derivative),>300nM
CDC2L2,BIBF-1120 (derivative),>300nM
CDC2L5,BIBF-1120 (derivative),>300nM
CDK11,BIBF-1120 (derivative),>300nM
CDK2,BIBF-1120 (derivative),>300nM
CDK3,BIBF-1120 (derivative),>300nM
CDK4-cyclinD1,BIBF-1120 (derivative),>300nM
CDK4-cyclinD3,BIBF-1120 (derivative),>300nM
CDK5,BIBF-1120 (derivative),>300nM
CDK7,BIBF-1120 (derivative),>300nM
CDK8,BIBF-1120 (derivative),>300nM
CDK9,BIBF-1120 (derivative),>300nM
CDKL1,BIBF-1120 (derivative),>300nM
CDKL2,BIBF-1120 (derivative),>300nM
CDKL3,BIBF-1120 (derivative),>300nM
CDKL5,BIBF-1120 (derivative),>300nM
CHEK1,BIBF-1120 (derivative),>300nM
CHEK2,BIBF-1120 (derivative),>300nM
CIT,BIBF-1120 (derivative),>300nM
CLK1,BIBF-1120 (derivative),>300nM
CLK2,BIBF-1120 (derivative),>300nM
CLK3,BIBF-1120 (derivative),>300nM
CLK4,BIBF-1120 (derivative),>300nM
CSF1R,BIBF-1120 (derivative),<300nM
CSK,BIBF-1120 (derivative),>300nM
CSNK1A1,BIBF-1120 (derivative),>300nM
CSNK1A1L,BIBF-1120 (derivative),>300nM
CSNK1D,BIBF-1120 (derivative),>300nM
CSNK1E,BIBF-1120 (derivative),>300nM
CSNK1G1,BIBF-1120 (derivative),>300nM
CSNK1G2,BIBF-1120 (derivative),>300nM
CSNK1G3,BIBF-1120 (derivative),>300nM
CSNK2A1,BIBF-1120 (derivative),>300nM
CSNK2A2,BIBF-1120 (derivative),>300nM
CTK,BIBF-1120 (derivative),>300nM
DAPK1,BIBF-1120 (derivative),>300nM
DAPK2,BIBF-1120 (derivative),>300nM
DAPK3,BIBF-1120 (derivative),>300nM
DCAMKL1,BIBF-1120 (derivative),>300nM
DCAMKL2,BIBF-1120 (derivative),>300nM
DCAMKL3,BIBF-1120 (derivative),>300nM
DDR1,BIBF-1120 (derivative),<300nM
DDR2,BIBF-1120 (derivative),<300nM
DLK,BIBF-1120 (derivative),>300nM
DMPK,BIBF-1120 (derivative),>300nM
DMPK2,BIBF-1120 (derivative),>300nM
DRAK1,BIBF-1120 (derivative),>300nM
DRAK2,BIBF-1120 (derivative),>300nM
DYRK1A,BIBF-1120 (derivative),>300nM
DYRK1B,BIBF-1120 (derivative),>300nM
DYRK2,BIBF-1120 (derivative),>300nM
EGFR,BIBF-1120 (derivative),>300nM
EGFR(E746-A750del),BIBF-1120 (derivative),>300nM
EGFR(G719C),BIBF-1120 (derivative),>300nM
EGFR(G719S),BIBF-1120 (derivative),>300nM
"EGFR(L747-E749del, A750P)",BIBF-1120 (derivative),>300nM
"EGFR(L747-S752del, P753S)",BIBF-1120 (derivative),>300nM
"EGFR(L747-T751del,Sins)",BIBF-1120 (derivative),>300nM
EGFR(L858R),BIBF-1120 (derivative),>300nM
"EGFR(L858R,T790M)",BIBF-1120 (derivative),>300nM
EGFR(L861Q),BIBF-1120 (derivative),>300nM
EGFR(S752-I759del),BIBF-1120 (derivative),>300nM
EGFR(T790M),BIBF-1120 (derivative),>300nM
EIF2AK1,BIBF-1120 (derivative),>300nM
EPHA1,BIBF-1120 (derivative),>300nM
EPHA2,BIBF-1120 (derivative),>300nM
EPHA3,BIBF-1120 (derivative),>300nM
EPHA4,BIBF-1120 (derivative),>300nM
EPHA5,BIBF-1120 (derivative),>300nM
EPHA6,BIBF-1120 (derivative),>300nM
EPHA7,BIBF-1120 (derivative),>300nM
EPHA8,BIBF-1120 (derivative),>300nM
EPHB1,BIBF-1120 (derivative),>300nM
EPHB2,BIBF-1120 (derivative),>300nM
EPHB3,BIBF-1120 (derivative),>300nM
EPHB4,BIBF-1120 (derivative),>300nM
EPHB6,BIBF-1120 (derivative),>300nM
ERBB2,BIBF-1120 (derivative),>300nM
ERBB3,BIBF-1120 (derivative),>300nM
ERBB4,BIBF-1120 (derivative),>300nM
ERK1,BIBF-1120 (derivative),>300nM
ERK2,BIBF-1120 (derivative),>300nM
ERK3,BIBF-1120 (derivative),>300nM
ERK4,BIBF-1120 (derivative),>300nM
ERK5,BIBF-1120 (derivative),>300nM
ERK8,BIBF-1120 (derivative),>300nM
ERN1,BIBF-1120 (derivative),>300nM
FAK,BIBF-1120 (derivative),>300nM
FER,BIBF-1120 (derivative),>300nM
FES,BIBF-1120 (derivative),>300nM
FGFR1,BIBF-1120 (derivative),>300nM
FGFR2,BIBF-1120 (derivative),>300nM
FGFR3,BIBF-1120 (derivative),>300nM
FGFR3(G697C),BIBF-1120 (derivative),>300nM
FGFR4,BIBF-1120 (derivative),>300nM
FGR,BIBF-1120 (derivative),>300nM
FLT1,BIBF-1120 (derivative),<300nM
FLT3,BIBF-1120 (derivative),<300nM
FLT3(D835H),BIBF-1120 (derivative),<300nM
FLT3(D835Y),BIBF-1120 (derivative),<300nM
FLT3(ITD),BIBF-1120 (derivative),<300nM
FLT3(K663Q),BIBF-1120 (derivative),<300nM
FLT3(N841I),BIBF-1120 (derivative),<300nM
FLT3(R834Q),BIBF-1120 (derivative),<300nM
FLT4,BIBF-1120 (derivative),>300nM
FRK,BIBF-1120 (derivative),>300nM
FYN,BIBF-1120 (derivative),>300nM
GAK,BIBF-1120 (derivative),<300nM
"GCN2(Kin.Dom.2,S808G)",BIBF-1120 (derivative),>300nM
GRK1,BIBF-1120 (derivative),>300nM
GRK4,BIBF-1120 (derivative),>300nM
GRK7,BIBF-1120 (derivative),>300nM
GSK3A,BIBF-1120 (derivative),>300nM
GSK3B,BIBF-1120 (derivative),>300nM
HCK,BIBF-1120 (derivative),>300nM
HIPK1,BIBF-1120 (derivative),>300nM
HIPK2,BIBF-1120 (derivative),>300nM
HIPK3,BIBF-1120 (derivative),>300nM
HIPK4,BIBF-1120 (derivative),>300nM
HPK1,BIBF-1120 (derivative),>300nM
HUNK,BIBF-1120 (derivative),>300nM
ICK,BIBF-1120 (derivative),>300nM
IGF1R,BIBF-1120 (derivative),>300nM
IKK-alpha,BIBF-1120 (derivative),>300nM
IKK-beta,BIBF-1120 (derivative),>300nM
IKK-epsilon,BIBF-1120 (derivative),>300nM
INSR,BIBF-1120 (derivative),>300nM
INSRR,BIBF-1120 (derivative),>300nM
IRAK1,BIBF-1120 (derivative),>300nM
IRAK3,BIBF-1120 (derivative),>300nM
IRAK4,BIBF-1120 (derivative),>300nM
ITK,BIBF-1120 (derivative),>300nM
JAK1(JH1domain-catalytic),BIBF-1120 (derivative),>300nM
JAK1(JH2domain-pseudokinase),BIBF-1120 (derivative),>300nM
JAK2(JH1domain-catalytic),BIBF-1120 (derivative),>300nM
JAK3(JH1domain-catalytic),BIBF-1120 (derivative),>300nM
JNK1,BIBF-1120 (derivative),>300nM
JNK2,BIBF-1120 (derivative),>300nM
JNK3,BIBF-1120 (derivative),>300nM
KIT,BIBF-1120 (derivative),<300nM
KIT(A829P),BIBF-1120 (derivative),<300nM
KIT(D816H),BIBF-1120 (derivative),<300nM
KIT(D816V),BIBF-1120 (derivative),<300nM
KIT(L576P),BIBF-1120 (derivative),<300nM
KIT(V559D),BIBF-1120 (derivative),<300nM
"KIT(V559D,T670I)",BIBF-1120 (derivative),<300nM
"KIT(V559D,V654A)",BIBF-1120 (derivative),<300nM
LATS1,BIBF-1120 (derivative),>300nM
LATS2,BIBF-1120 (derivative),>300nM
LCK,BIBF-1120 (derivative),<300nM
LIMK1,BIBF-1120 (derivative),>300nM
LIMK2,BIBF-1120 (derivative),>300nM
LKB1,BIBF-1120 (derivative),>300nM
LOK,BIBF-1120 (derivative),>300nM
LRRK2,BIBF-1120 (derivative),>300nM
LRRK2(G2019S),BIBF-1120 (derivative),>300nM
LTK,BIBF-1120 (derivative),>300nM
LYN,BIBF-1120 (derivative),>300nM
LZK,BIBF-1120 (derivative),>300nM
MAK,BIBF-1120 (derivative),>300nM
MAP3K1,BIBF-1120 (derivative),>300nM
MAP3K15,BIBF-1120 (derivative),>300nM
MAP3K2,BIBF-1120 (derivative),>300nM
MAP3K3,BIBF-1120 (derivative),>300nM
MAP3K4,BIBF-1120 (derivative),>300nM
MAP4K2,BIBF-1120 (derivative),>300nM
MAP4K3,BIBF-1120 (derivative),>300nM
MAP4K4,BIBF-1120 (derivative),>300nM
MAP4K5,BIBF-1120 (derivative),>300nM
MAPKAPK2,BIBF-1120 (derivative),>300nM
MAPKAPK5,BIBF-1120 (derivative),>300nM
MARK1,BIBF-1120 (derivative),>300nM
