Accession Number,Entrez Gene Symbol,Kinase,AMG-706,BIBF-1120 (derivative),CI-1040,GSK-461364A,PI-103,SKI-606,Sorafenib,SU-14813,Sunitinib,TG-100-115,VX-680/MK-0457,VX-745
NP_004217.1,STK17B,DRAK2,10001,670,10001,10001,10001,10001,10001,320,110,10001,10001,10001
NP_569121.1,DYRK1A,DYRK1A,10001,10001,10001,10001,10001,10001,10001,260,200,670,10001,10001
NP_004705.1,DYRK1B,DYRK1B,10001,1600,10001,10001,5700,10001,10001,2600,2300,730,10001,10001
NP_003574.1,DYRK2,DYRK2,10001,10001,10001,10001,4100,10001,10001,1300,680,5600,10001,10001
NP_005219.2,EGFR,EGFR,1300,10001,10001,10001,10001,35,10001,10001,10001,5100,10001,10001
NP_005219.2,EGFR,EGFR(E746-A750del),3800,10001,10001,10001,10001,18,10001,10001,10001,4100,10001,10001
NP_005219.2,EGFR,EGFR(G719C),2300,10001,10001,10001,10001,98,10001,9000,6800,1400,10001,10001
NP_005219.2,EGFR,EGFR(G719S),1000,10001,10001,10001,10001,26,10001,10001,10001,8600,10001,10001
NP_005219.2,EGFR,"EGFR(L747-E749del, A750P)",960,10001,10001,10001,10001,29,10001,10001,10001,1300,10001,10001
NP_005219.2,EGFR,"EGFR(L747-S752del, P753S)",4500,10001,10001,10001,10001,38,10001,10001,10001,2500,10001,10001
NP_005219.2,EGFR,"EGFR(L747-T751del,Sins)",2600,10001,10001,10001,10001,30,10001,10001,10001,1500,10001,10001
NP_005219.2,EGFR,EGFR(L858R),7100,10001,10001,10001,10001,23,10001,10001,10001,1400,10001,10001
NP_005219.2,EGFR,"EGFR(L858R,T790M)",10001,10001,10001,10001,10001,390,10001,10001,860,2200,10001,10001
NP_005219.2,EGFR,EGFR(L861Q),3900,10001,10001,10001,10001,71,10001,10001,10001,1900,10001,10001
NP_005219.2,EGFR,EGFR(S752-I759del),10001,10001,10001,10001,10001,110,10001,10001,10001,800,10001,10001
NP_005219.2,EGFR,EGFR(T790M),10001,10001,10001,10001,10001,340,10001,3300,2400,6900,10001,10001
NP_055228.2,EIF2AK1,EIF2AK1,10001,10001,10001,10001,10001,630,10001,10001,10001,10001,10001,10001
NP_005223.3,EPHA1,EPHA1,10001,1200,10001,10001,10001,2300,3100,10001,10001,10001,1000,4700
NP_004422.2,EPHA2,EPHA2,10001,2900,10001,10001,10001,18,2000,10001,10001,10001,840,10001
NP_005224.2,EPHA3,EPHA3,10001,8600,10001,10001,10001,5.8,1900,2300,2100,10001,1500,10001
NP_004429.1,EPHA4,EPHA4,10001,10001,10001,10001,10001,18,3000,10001,10001,10001,4300,10001
NP_872272.2,EPHA5,EPHA5,10001,10001,10001,10001,10001,27,3500,10001,1200,10001,10001,10001
NP_001073917.2,EPHA6,EPHA6,490,940,10001,10001,10001,1100,370,2000,960,10001,4700,10001
NP_004431.1,EPHA7,EPHA7,10001,10001,10001,10001,10001,10001,5300,1500,2400,10001,10001,10001
NP_065387.1,EPHA8,EPHA8,10001,10001,10001,10001,10001,9,2400,10001,10001,10001,500,10001
NP_004432.1,EPHB1,EPHB1,10001,550,10001,10001,10001,33,3000,4300,480,10001,1900,6200
NP_059145.2,EPHB2,EPHB2,10001,10001,10001,10001,10001,8.4,1900,10001,10001,10001,5600,10001
NP_004434.2,EPHB3,EPHB3,10001,10001,10001,10001,10001,210,10001,10001,10001,10001,10001,10001
NP_004435.3,EPHB4,EPHB4,10001,1100,10001,10001,10001,9.2,1800,10001,3100,10001,1700,10001
NP_004436.2,EPHB6,EPHB6,10001,140,10001,10001,10001,3000,240,1200,1000,10001,28,10001
NP_001005862.1,ERBB2,ERBB2,10001,10001,10001,10001,10001,2500,10001,10001,10001,440,10001,10001
NP_001973.2,ERBB3,ERBB3,10001,10001,10001,10001,10001,0.77,10001,10001,10001,10001,7100,10001
NP_001036064.1,ERBB4,ERBB4,10001,10001,10001,10001,10001,26,10001,10001,10001,2100,10001,10001
NP_002737.2,MAPK3,ERK1,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_620407.1,MAPK1,ERK2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002739.1,MAPK6,ERK3,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002738.2,MAPK4,ERK4,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002740.2,MAPK7,ERK5,10001,2500,10001,10001,10001,2300,10001,10001,9900,10001,6800,10001
NP_620590.2,MAPK15,ERK8,10001,10001,10001,10001,10001,10001,46,10001,10001,10001,10001,10001
NP_001424.3,ERN1,ERN1,10001,2000,10001,10001,10001,10001,10001,1900,600,10001,5600,10001
NP_722560.1,PTK2,FAK,10001,210,10001,10001,10001,570,10001,1200,440,10001,10001,10001
NP_005237.2,FER,FER,10001,73,10001,10001,10001,360,10001,34,1100,10001,4200,10001
NP_001996.1,FES,FES,10001,1200,10001,10001,10001,330,10001,10001,960,10001,7400,10001
NP_075593.1,FGFR1,FGFR1,6200,92,10001,10001,10001,10001,2800,1900,520,10001,550,10001
NP_075259.4,FGFR2,FGFR2,10001,350,10001,10001,10001,10001,2700,790,570,10001,570,10001
NP_000133.1,FGFR3,FGFR3,10001,93,10001,10001,10001,10001,4200,560,290,10001,860,10001
NP_000133.1,FGFR3,FGFR3(G697C),10001,140,10001,10001,10001,10001,5900,380,1400,10001,820,10001
NP_075252.2,FGFR4,FGFR4,6800,1800,10001,10001,10001,10001,10001,6500,2100,10001,7200,10001
NP_005239.1,FGR,FGR,6900,300,10001,10001,10001,6.3,7800,390,270,10001,790,1300
NP_002010.2,FLT1,FLT1,12,63,10001,10001,10001,10001,31,4.7,1.8,10001,100,10001
NP_004110.2,FLT3,FLT3,71,3.8,10001,620,2500,2200,13,0.54,0.41,10001,6.5,10001
NP_004110.2,FLT3,FLT3(D835H),4500,0.71,10001,410,5900,1000,30,6.3,4.3,10001,14,10001
NP_004110.2,FLT3,FLT3(D835Y),9500,0.42,10001,430,10001,1100,82,6.1,2.3,10001,55,10001
NP_004110.2,FLT3,FLT3(ITD),1000,0.7,10001,1500,7200,2900,79,1.8,0.99,10001,45,10001
NP_004110.2,FLT3,FLT3(K663Q),54,4.5,10001,650,10001,2200,4.5,0.7,0.22,10001,4.8,10001
NP_004110.2,FLT3,FLT3(N841I),1100,2.6,10001,690,10001,3400,11,5.4,2.4,10001,4.3,10001
NP_004110.2,FLT3,FLT3(R834Q),3800,17,10001,4800,10001,10001,17,44,11,10001,130,10001
NP_002011.1,FLT4,FLT4,9.7,95,10001,10001,10001,10001,95,50,50,10001,1900,10001
NP_002022.1,FRK,FRK,99,2700,10001,10001,10001,1.4,510,1800,530,10001,3800,10001
NP_694592.1,FYN,FYN,2800,630,10001,10001,10001,11,8400,2600,520,10001,530,2100
NP_005246.2,GAK,GAK,10001,10001,10001,10001,10001,1.3,10001,44,20,1400,3200,10001
NP_001013725.2,EIF2AK4,"GCN2(Kin.Dom.2,S808G)",4400,2000,10001,4100,10001,270,10001,470,180,10001,1900,10001
NP_002920.1,GRK1,GRK1,10001,1000,10001,10001,10001,10001,10001,1100,290,10001,10001,10001
NP_892027.2,GRK4,GRK4,10001,17,10001,2800,10001,4900,10001,370,140,6200,400,10001
NP_631948.1,GRK7,GRK7,10001,1200,10001,7500,10001,1700,10001,470,180,10001,10001,10001
NP_063937.2,GSK3A,GSK3A,10001,430,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002084.2,GSK3B,GSK3B,10001,83,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002101.2,HCK,HCK,8600,5300,10001,10001,10001,3.4,8500,2200,880,10001,6200,10001
NP_689909.2,HIPK1,HIPK1,10001,1300,10001,10001,3300,520,3300,970,55,10001,10001,10001
NP_073577.3,HIPK2,HIPK2,10001,790,10001,10001,290,1900,1700,92,31,10001,10001,10001
NP_005725.3,HIPK3,HIPK3,10001,850,10001,10001,310,3200,440,83,41,10001,10001,10001
NP_653286.2,HIPK4,HIPK4,10001,1200,10001,10001,10001,130,3.3,970,160,10001,10001,10001
NP_001036065.1,MAP4K1,HPK1,10001,35,10001,10001,10001,15,4800,15,16,10001,72,10001
NP_055401.1,HUNK,HUNK,10001,10001,10001,10001,10001,5000,10001,3.7,500,10001,9800,10001
NP_055735.1,ICK,ICK,10001,1700,10001,10001,10001,10001,10001,1200,470,10001,10001,10001
NP_000866.1,IGF1R,IGF1R,10001,62,10001,10001,10001,10001,10001,10001,2600,10001,740,10001
NP_001269.3,CHUK,IKK-alpha,10001,4500,10001,10001,1700,10001,10001,670,520,10001,10001,10001
NP_001547.1,IKBKB,IKK-beta,10001,10001,10001,10001,10001,10001,10001,5300,10001,10001,10001,10001
NP_054721.1,IKBKE,IKK-epsilon,10001,170,10001,10001,10001,53,10001,480,620,10001,2600,10001
NP_000199.2,INSR,INSR,10001,24,10001,10001,10001,10001,10001,1200,500,10001,630,10001
NP_055030.1,INSRR,INSRR,10001,21,10001,10001,10001,10001,10001,2000,430,10001,290,10001
NP_001560.2,IRAK1,IRAK1,10001,120,10001,6400,10001,600,10001,26,14,10001,10001,10001
NP_009130.1,IRAK3,IRAK3,10001,5300,10001,3500,10001,10001,10001,1900,940,10001,10001,10001
NP_057207.2,IRAK4,IRAK4,10001,810,10001,10001,10001,360,10001,82,66,10001,3700,10001
NP_005537.3,ITK,ITK,10001,210,10001,10001,10001,1700,10001,190,13,10001,350,10001
NP_002218.2,JAK1,JAK1(JH1domain-catalytic),5200,2500,10001,10001,10001,10001,10001,5900,6000,10001,5900,10001
NP_002218.1,JAK1,JAK1(JH2domain-pseudokinase),10001,4.8,10001,10001,2000,10001,10001,97,49,690,10001,10001
NP_004963.1,JAK2,JAK2(JH1domain-catalytic),10001,14,10001,10001,10001,1100,10001,1600,410,10001,190,10001
NP_000206.2,JAK3,JAK3(JH1domain-catalytic),10001,8.2,10001,10001,10001,1200,7300,580,1200,10001,630,10001
NP_002741.1,MAPK8,JNK1,10001,630,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_620707.1,MAPK9,JNK2,10001,10001,10001,10001,10001,10001,7400,3300,2400,10001,10001,10001
NP_002744.1,MAPK10,JNK3,10001,270,10001,10001,10001,10001,10001,3600,4300,10001,2800,10001
NP_000213.1,KIT,KIT,3.7,5.7,10001,10001,10001,420,28,0.68,0.37,10001,240,10001
NP_000213.1,KIT,KIT(A829P),15,87,10001,7200,10001,270,20,54,43,10001,380,10001
NP_000213.1,KIT,KIT(D816H),180,310,10001,10001,10001,180,430,310,110,10001,1900,10001
NP_000213.1,KIT,KIT(D816V),410,47,10001,1600,10001,73,310,340,380,10001,290,10001
NP_000213.1,KIT,KIT(L576P),1.3,2.7,10001,10001,10001,520,25,0.29,1.3,10001,230,10001
NP_000213.1,KIT,KIT(V559D),3.2,6.3,10001,10001,10001,430,16,0.51,0.41,10001,240,10001
NP_000213.1,KIT,"KIT(V559D,T670I)",13,2.9,10001,10001,10001,10001,18,0.56,0.28,10001,430,10001
NP_000213.1,KIT,"KIT(V559D,V654A)",23,29,10001,10001,10001,130,240,0.25,0.21,10001,2300,10001
NP_004681.1,LATS1,LATS1,10001,420,10001,10001,10001,10001,10001,850,630,4500,5500,10001
NP_055387.1,LATS2,LATS2,10001,380,10001,10001,10001,10001,10001,430,460,1800,6500,10001
NP_005347.3,LCK,LCK,360,6.2,10001,10001,10001,0.59,2700,2300,230,3500,61,4600
NP_002305.1,LIMK1,LIMK1,10001,10001,10001,10001,10001,10001,1600,10001,10001,10001,2600,10001
NP_005560.1,LIMK2,LIMK2,10001,10001,10001,10001,3500,10001,9600,10001,10001,10001,2600,10001
NP_000446.1,STK11,LKB1,10001,18,10001,10001,10001,10001,10001,360,38,10001,1300,10001
NP_005981.3,STK10,LOK,1100,87,10001,69,10001,7,150,230,19,10001,120,10001
NP_940980.3,LRRK2,LRRK2,10001,46,10001,10001,10001,500,10001,72,110,10001,10001,10001
NP_940980.3,LRRK2,LRRK2(G2019S),10001,37,10001,10001,10001,830,10001,70,76,10001,10001,10001
NP_996844.1,LTK,LTK,10001,150,10001,10001,10001,3000,10001,4200,1800,10001,7500,10001
NP_002341.1,LYN,LYN,160,940,10001,10001,10001,4.2,3000,810,270,10001,650,1700
NP_004712.1,MAP3K13,LZK,10001,140,10001,10001,10001,480,10001,540,95,10001,180,10001
NP_005897.1,MAK,MAK,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_005912.1,MAP3K1,MAP3K1,10001,10001,10001,1500,10001,4400,10001,10001,10001,10001,10001,10001
NP_001001671.2,MAP3K15,MAP3K15,10001,1400,10001,10001,10001,10001,10001,1200,1300,10001,10001,10001
NP_006600.3,MAP3K2,MAP3K2,6900,9.4,10001,10001,10001,30,10001,73,57,10001,1100,10001
NP_002392.2,MAP3K3,MAP3K3,2100,34,10001,10001,10001,54,10001,300,220,10001,1900,10001
NP_005913.2,MAP3K4,MAP3K4,10001,10001,10001,10001,10001,110,10001,10001,4800,10001,2500,10001
NP_004570.2,MAP4K2,MAP4K2,10001,290,10001,3200,10001,3.1,10001,1700,33,10001,2600,10001
NP_003609.2,MAP4K3,MAP4K3,10001,290,10001,10001,10001,5.1,10001,210,180,10001,290,10001
NP_663719.1,MAP4K4,MAP4K4,5800,150,10001,10001,10001,8.2,4800,260,140,10001,2400,10001
NP_006566.2,MAP4K5,MAP4K5,10001,390,10001,10001,10001,0.5,1600,300,41,10001,83,10001
NP_116584.2,MAPKAPK2,MAPKAPK2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,3800,10001
NP_003659.2,MAPKAPK5,MAPKAPK5,10001,10001,10001,10001,10001,10001,10001,2800,10001,10001,10001,10001
NP_061120.3,MARK1,MARK1,10001,1400,10001,10001,10001,10001,10001,1500,1200,10001,4900,10001
NP_059672.2,MARK2,MARK2,10001,1400,10001,10001,10001,10001,10001,440,310,10001,1400,10001
NP_002367.4,MARK3,MARK3,10001,770,10001,10001,10001,10001,10001,1100,410,10001,2500,10001
NP_113605.2,MARK4,MARK4,10001,2000,10001,10001,10001,10001,10001,2000,3600,10001,4900,10001
NP_055790.1,MAST1,MAST1,10001,4600,10001,10001,10001,350,10001,300,200,10001,10001,10001
NP_002746.1,MAP2K1,MEK1,10001,10,120,10001,10001,19,10001,77,130,10001,1800,10001
NP_109587.1,MAP2K2,MEK2,10001,42,370,10001,10001,9.9,10001,120,110,10001,2000,10001
NP_002747.2,MAP2K3,MEK3,10001,2100,10001,10001,10001,2600,10001,2200,1700,6600,10001,10001
NP_003001.1,MAP2K4,MEK4,10001,3700,10001,10001,10001,2600,10001,1400,700,4000,10001,10001
NP_660143.1,MAP2K5,MEK5,10001,1.8,10001,10001,10001,8.2,190,75,46,10001,260,10001
NP_002749.2,MAP2K6,MEK6,10001,10001,10001,10001,10001,1300,10001,5500,5200,10001,2600,10001
NP_055606.1,MELK,MELK,10001,4.9,10001,10001,10001,10001,10001,340,350,10001,240,10001
AAB60430.1,MERTK,MERTK,10001,8.5,10001,4600,10001,110,3600,66,26,10001,1700,10001
NP_000236.2,MET,MET,10001,200,10001,10001,10001,2200,10001,10001,7200,10001,670,10001
NP_000236.2,MET,MET(M1250T),10001,340,10001,10001,10001,6800,10001,3200,1200,10001,480,10001
NP_000236.2,MET,MET(Y1235D),10001,460,10001,10001,10001,3100,10001,10001,4700,10001,360,10001
NP_001020108.1,MINK1,MINK,10001,82,10001,10001,10001,3.2,10001,69,29,10001,1100,10001
