Kinase,Compound,Predicted_Kd_Category
FLT3(K663Q),AMG-706,>3000nM
FLT3(N841I),AMG-706,>3000nM
FLT3(R834Q),AMG-706,>3000nM
FLT4,AMG-706,>3000nM
FRK,AMG-706,<3000nM
FYN,AMG-706,>3000nM
GAK,AMG-706,<3000nM
"GCN2(Kin.Dom.2,S808G)",AMG-706,>3000nM
GRK1,AMG-706,>3000nM
GRK4,AMG-706,>3000nM
GRK7,AMG-706,>3000nM
GSK3A,AMG-706,>3000nM
GSK3B,AMG-706,>3000nM
HCK,AMG-706,>3000nM
HIPK1,AMG-706,>3000nM
HIPK2,AMG-706,>3000nM
HIPK3,AMG-706,>3000nM
HIPK4,AMG-706,<3000nM
HPK1,AMG-706,>3000nM
HUNK,AMG-706,>3000nM
ICK,AMG-706,>3000nM
IGF1R,AMG-706,>3000nM
IKK-alpha,AMG-706,>3000nM
IKK-beta,AMG-706,>3000nM
IKK-epsilon,AMG-706,>3000nM
INSR,AMG-706,>3000nM
INSRR,AMG-706,>3000nM
IRAK1,AMG-706,>3000nM
IRAK3,AMG-706,>3000nM
IRAK4,AMG-706,>3000nM
ITK,AMG-706,>3000nM
JAK1(JH1domain-catalytic),AMG-706,>3000nM
JAK1(JH2domain-pseudokinase),AMG-706,>3000nM
JAK2(JH1domain-catalytic),AMG-706,>3000nM
JAK3(JH1domain-catalytic),AMG-706,>3000nM
JNK1,AMG-706,>3000nM
JNK2,AMG-706,>3000nM
JNK3,AMG-706,<3000nM
KIT,AMG-706,<3000nM
KIT(A829P),AMG-706,<3000nM
KIT(D816H),AMG-706,<3000nM
KIT(D816V),AMG-706,<3000nM
KIT(L576P),AMG-706,<3000nM
KIT(V559D),AMG-706,<3000nM
"KIT(V559D,T670I)",AMG-706,<3000nM
"KIT(V559D,V654A)",AMG-706,<3000nM
LATS1,AMG-706,>3000nM
LATS2,AMG-706,>3000nM
LCK,AMG-706,<3000nM
LIMK1,AMG-706,>3000nM
LIMK2,AMG-706,>3000nM
LKB1,AMG-706,>3000nM
LOK,AMG-706,<3000nM
LRRK2,AMG-706,>3000nM
LRRK2(G2019S),AMG-706,>3000nM
LTK,AMG-706,>3000nM
LYN,AMG-706,>3000nM
LZK,AMG-706,>3000nM
MAK,AMG-706,>3000nM
MAP3K1,AMG-706,>3000nM
MAP3K15,AMG-706,>3000nM
MAP3K2,AMG-706,>3000nM
MAP3K3,AMG-706,>3000nM
MAP3K4,AMG-706,>3000nM
MAP4K2,AMG-706,>3000nM
MAP4K3,AMG-706,>3000nM
MAP4K4,AMG-706,>3000nM
MAP4K5,AMG-706,>3000nM
MAPKAPK2,AMG-706,>3000nM
MAPKAPK5,AMG-706,>3000nM
MARK1,AMG-706,>3000nM
MARK2,AMG-706,>3000nM
MARK3,AMG-706,>3000nM
MARK4,AMG-706,>3000nM
MAST1,AMG-706,>3000nM
MEK1,AMG-706,>3000nM
MEK2,AMG-706,>3000nM
MEK3,AMG-706,>3000nM
MEK4,AMG-706,>3000nM
MEK5,AMG-706,<3000nM
MEK6,AMG-706,>3000nM
MELK,AMG-706,>3000nM
MERTK,AMG-706,>3000nM
MET,AMG-706,>3000nM
MET(M1250T),AMG-706,>3000nM
MET(Y1235D),AMG-706,>3000nM
MINK,AMG-706,>3000nM
MKK7,AMG-706,>3000nM
MKNK1,AMG-706,>3000nM
MKNK2,AMG-706,>3000nM
MLCK,AMG-706,>3000nM
MLK1,AMG-706,>3000nM
MLK2,AMG-706,>3000nM
MLK3,AMG-706,>3000nM
MRCKA,AMG-706,>3000nM
MRCKB,AMG-706,>3000nM
MST1,AMG-706,>3000nM
MST1R,AMG-706,>3000nM
MST2,AMG-706,>3000nM
MST3,AMG-706,>3000nM
MST4,AMG-706,>3000nM
MTOR,AMG-706,>3000nM
MUSK,AMG-706,>3000nM
MYLK,AMG-706,>3000nM
MYLK2,AMG-706,>3000nM
MYLK4,AMG-706,>3000nM
MYO3A,AMG-706,>3000nM
MYO3B,AMG-706,>3000nM
NDR1,AMG-706,>3000nM
NDR2,AMG-706,>3000nM
NEK1,AMG-706,>3000nM
NEK11,AMG-706,>3000nM
NEK2,AMG-706,>3000nM
NEK3,AMG-706,>3000nM
NEK4,AMG-706,>3000nM
NEK5,AMG-706,>3000nM
NEK6,AMG-706,>3000nM
NEK7,AMG-706,>3000nM
NEK9,AMG-706,>3000nM
NIM1,AMG-706,>3000nM
NLK,AMG-706,>3000nM
OSR1,AMG-706,>3000nM
p38-alpha,AMG-706,>3000nM
p38-beta,AMG-706,>3000nM
p38-delta,AMG-706,>3000nM
p38-gamma,AMG-706,>3000nM
PAK1,AMG-706,>3000nM
PAK2,AMG-706,>3000nM
PAK3,AMG-706,>3000nM
PAK4,AMG-706,>3000nM
PAK6,AMG-706,>3000nM
PAK7,AMG-706,>3000nM
PCTK1,AMG-706,>3000nM
PCTK2,AMG-706,>3000nM
PCTK3,AMG-706,>3000nM
PDGFRA,AMG-706,<3000nM
PDGFRB,AMG-706,<3000nM
PDPK1,AMG-706,>3000nM
PFCDPK1(P.falciparum),AMG-706,>3000nM
PFPK5(P.falciparum),AMG-706,>3000nM
PFTAIRE2,AMG-706,>3000nM
PFTK1,AMG-706,>3000nM
PHKG1,AMG-706,>3000nM
PHKG2,AMG-706,>3000nM
PIK3C2B,AMG-706,>3000nM
PIK3C2G,AMG-706,>3000nM
PIK3CA,AMG-706,>3000nM
PIK3CA(C420R),AMG-706,>3000nM
PIK3CA(E542K),AMG-706,>3000nM
PIK3CA(E545A),AMG-706,>3000nM
PIK3CA(E545K),AMG-706,>3000nM
PIK3CA(H1047L),AMG-706,>3000nM
PIK3CA(H1047Y),AMG-706,>3000nM
PIK3CA(I800L),AMG-706,>3000nM
PIK3CA(M1043I),AMG-706,>3000nM
PIK3CA(Q546K),AMG-706,>3000nM
PIK3CB,AMG-706,>3000nM
PIK3CD,AMG-706,>3000nM
PIK3CG,AMG-706,>3000nM
PIK4CB,AMG-706,>3000nM
PIM1,AMG-706,>3000nM
PIM2,AMG-706,>3000nM
PIM3,AMG-706,>3000nM
PIP5K1A,AMG-706,>3000nM
PIP5K1C,AMG-706,>3000nM
PIP5K2B,AMG-706,>3000nM
PIP5K2C,AMG-706,>3000nM
PKAC-alpha,AMG-706,>3000nM
PKAC-beta,AMG-706,>3000nM
PKMYT1,AMG-706,>3000nM
PKN1,AMG-706,>3000nM
PKN2,AMG-706,>3000nM
PKNB(M.tuberculosis),AMG-706,>3000nM
PLK1,AMG-706,>3000nM
PLK2,AMG-706,>3000nM
PLK3,AMG-706,>3000nM
PLK4,AMG-706,>3000nM
PRKCD,AMG-706,>3000nM
PRKCE,AMG-706,>3000nM
PRKCH,AMG-706,>3000nM
PRKCI,AMG-706,>3000nM
PRKCQ,AMG-706,>3000nM
PRKD1,AMG-706,>3000nM
PRKD2,AMG-706,>3000nM
PRKD3,AMG-706,>3000nM
PRKG1,AMG-706,>3000nM
PRKG2,AMG-706,>3000nM
PRKR,AMG-706,>3000nM
PRKX,AMG-706,>3000nM
PRP4,AMG-706,>3000nM
PYK2,AMG-706,>3000nM
QSK,AMG-706,>3000nM
RAF1,AMG-706,>3000nM
RET,AMG-706,<3000nM
RET(M918T),AMG-706,<3000nM
RET(V804L),AMG-706,>3000nM
RET(V804M),AMG-706,>3000nM
RIOK1,AMG-706,>3000nM
RIOK2,AMG-706,>3000nM
RIOK3,AMG-706,>3000nM
RIPK1,AMG-706,>3000nM
RIPK2,AMG-706,<3000nM
RIPK4,AMG-706,>3000nM
RIPK5,AMG-706,>3000nM
ROCK1,AMG-706,>3000nM
ROCK2,AMG-706,>3000nM
ROS1,AMG-706,>3000nM
RPS6KA4(Kin.Dom.1-N-terminal),AMG-706,>3000nM
RPS6KA4(Kin.Dom.2-C-terminal),AMG-706,>3000nM
RPS6KA5(Kin.Dom.1-N-terminal),AMG-706,>3000nM
RPS6KA5(Kin.Dom.2-C-terminal),AMG-706,>3000nM
RSK1(Kin.Dom.1-N-terminal),AMG-706,>3000nM
RSK1(Kin.Dom.2-C-terminal),AMG-706,>3000nM
RSK2(Kin.Dom.1-N-terminal),AMG-706,>3000nM
RSK3(Kin.Dom.1-N-terminal),AMG-706,>3000nM
RSK3(Kin.Dom.2-C-terminal),AMG-706,>3000nM
RSK4(Kin.Dom.1-N-terminal),AMG-706,>3000nM
RSK4(Kin.Dom.2-C-terminal),AMG-706,>3000nM
S6K1,AMG-706,>3000nM
SBK1,AMG-706,>3000nM
SgK110,AMG-706,>3000nM
SGK3,AMG-706,>3000nM
SIK,AMG-706,>3000nM
SIK2,AMG-706,>3000nM
SLK,AMG-706,<3000nM
SNARK,AMG-706,>3000nM
SNRK,AMG-706,>3000nM
SRC,AMG-706,>3000nM
SRMS,AMG-706,>3000nM
SRPK1,AMG-706,>3000nM
SRPK2,AMG-706,>3000nM
SRPK3,AMG-706,>3000nM
STK16,AMG-706,>3000nM
STK33,AMG-706,>3000nM
STK35,AMG-706,>3000nM
STK36,AMG-706,>3000nM
STK39,AMG-706,>3000nM
SYK,AMG-706,>3000nM
TAK1,AMG-706,>3000nM
TAOK1,AMG-706,>3000nM
TAOK2,AMG-706,>3000nM
TAOK3,AMG-706,>3000nM
TBK1,AMG-706,>3000nM
TEC,AMG-706,>3000nM
TESK1,AMG-706,>3000nM
TGFBR1,AMG-706,>3000nM
TGFBR2,AMG-706,>3000nM
TIE1,AMG-706,>3000nM
TIE2,AMG-706,>3000nM
TLK1,AMG-706,>3000nM
TLK2,AMG-706,>3000nM
TNIK,AMG-706,<3000nM
TNK1,AMG-706,>3000nM
TNK2,AMG-706,>3000nM
TNNI3K,AMG-706,>3000nM
TRKA,AMG-706,>3000nM
TRKB,AMG-706,>3000nM
TRKC,AMG-706,>3000nM
TRPM6,AMG-706,>3000nM
TSSK1B,AMG-706,>3000nM
TTK,AMG-706,>3000nM
TXK,AMG-706,>3000nM
TYK2(JH1domain-catalytic),AMG-706,>3000nM
TYK2(JH2domain-pseudokinase),AMG-706,>3000nM
TYRO3,AMG-706,>3000nM
ULK1,AMG-706,>3000nM
ULK2,AMG-706,>3000nM
ULK3,AMG-706,>3000nM
VEGFR2,AMG-706,>3000nM
VRK2,AMG-706,>3000nM
WEE1,AMG-706,>3000nM
WEE2,AMG-706,>3000nM
YANK1,AMG-706,>3000nM
YANK2,AMG-706,>3000nM
YANK3,AMG-706,>3000nM
YES,AMG-706,>3000nM
YSK1,AMG-706,>3000nM
YSK4,AMG-706,<3000nM
ZAK,AMG-706,>3000nM
ZAP70,AMG-706,>3000nM
AAK1,BIBF-1120 (derivative),>3000nM
ABL1(E255K)-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(F317I)-nonphosphorylated,BIBF-1120 (derivative),>3000nM
ABL1(F317I)-phosphorylated,BIBF-1120 (derivative),>3000nM
ABL1(F317L)-nonphosphorylated,BIBF-1120 (derivative),>3000nM
ABL1(F317L)-phosphorylated,BIBF-1120 (derivative),>3000nM
ABL1(H396P)-nonphosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(H396P)-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(M351T)-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(Q252H)-nonphosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(Q252H)-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(T315I)-nonphosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(T315I)-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL1(Y253F)-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL1-nonphosphorylated,BIBF-1120 (derivative),<3000nM
ABL1-phosphorylated,BIBF-1120 (derivative),<3000nM
ABL2,BIBF-1120 (derivative),>3000nM
ACVR1,BIBF-1120 (derivative),>3000nM
ACVR1B,BIBF-1120 (derivative),>3000nM
ACVR2A,BIBF-1120 (derivative),>3000nM
ACVR2B,BIBF-1120 (derivative),>3000nM
ACVRL1,BIBF-1120 (derivative),>3000nM
ADCK3,BIBF-1120 (derivative),>3000nM
ADCK4,BIBF-1120 (derivative),>3000nM
AKT1,BIBF-1120 (derivative),>3000nM
AKT2,BIBF-1120 (derivative),>3000nM
AKT3,BIBF-1120 (derivative),>3000nM
ALK,BIBF-1120 (derivative),<3000nM
AMPK-alpha1,BIBF-1120 (derivative),>3000nM
AMPK-alpha2,BIBF-1120 (derivative),>3000nM
ANKK1,BIBF-1120 (derivative),>3000nM
ARK5,BIBF-1120 (derivative),>3000nM
ASK1,BIBF-1120 (derivative),>3000nM
ASK2,BIBF-1120 (derivative),>3000nM
AURKA,BIBF-1120 (derivative),>3000nM
AURKB,BIBF-1120 (derivative),>3000nM
AURKC,BIBF-1120 (derivative),<3000nM
AXL,BIBF-1120 (derivative),<3000nM
BIKE,BIBF-1120 (derivative),>3000nM
BLK,BIBF-1120 (derivative),<3000nM
BMPR1A,BIBF-1120 (derivative),>3000nM
BMPR1B,BIBF-1120 (derivative),>3000nM
BMPR2,BIBF-1120 (derivative),>3000nM
BMX,BIBF-1120 (derivative),>3000nM
BRAF,BIBF-1120 (derivative),>3000nM
BRAF(V600E),BIBF-1120 (derivative),>3000nM
BRK,BIBF-1120 (derivative),>3000nM
BRSK1,BIBF-1120 (derivative),>3000nM
BRSK2,BIBF-1120 (derivative),>3000nM
BTK,BIBF-1120 (derivative),>3000nM
CAMK1,BIBF-1120 (derivative),>3000nM
CAMK1D,BIBF-1120 (derivative),>3000nM
CAMK1G,BIBF-1120 (derivative),>3000nM
CAMK2A,BIBF-1120 (derivative),>3000nM
CAMK2B,BIBF-1120 (derivative),>3000nM
CAMK2D,BIBF-1120 (derivative),>3000nM
CAMK2G,BIBF-1120 (derivative),>3000nM
CAMK4,BIBF-1120 (derivative),>3000nM
CAMKK1,BIBF-1120 (derivative),>3000nM
CAMKK2,BIBF-1120 (derivative),>3000nM
CASK,BIBF-1120 (derivative),>3000nM
CDC2L1,BIBF-1120 (derivative),>3000nM
CDC2L2,BIBF-1120 (derivative),>3000nM
CDC2L5,BIBF-1120 (derivative),>3000nM
CDK11,BIBF-1120 (derivative),>3000nM
CDK2,BIBF-1120 (derivative),>3000nM
CDK3,BIBF-1120 (derivative),>3000nM
CDK4-cyclinD1,BIBF-1120 (derivative),>3000nM
CDK4-cyclinD3,BIBF-1120 (derivative),>3000nM
CDK5,BIBF-1120 (derivative),>3000nM
CDK7,BIBF-1120 (derivative),>3000nM
CDK8,BIBF-1120 (derivative),>3000nM
CDK9,BIBF-1120 (derivative),>3000nM
CDKL1,BIBF-1120 (derivative),>3000nM
CDKL2,BIBF-1120 (derivative),>3000nM
CDKL3,BIBF-1120 (derivative),>3000nM
CDKL5,BIBF-1120 (derivative),>3000nM
CHEK1,BIBF-1120 (derivative),>3000nM
CHEK2,BIBF-1120 (derivative),>3000nM
CIT,BIBF-1120 (derivative),>3000nM
CLK1,BIBF-1120 (derivative),<3000nM
CLK2,BIBF-1120 (derivative),<3000nM
CLK3,BIBF-1120 (derivative),>3000nM
CLK4,BIBF-1120 (derivative),<3000nM
CSF1R,BIBF-1120 (derivative),<3000nM
CSK,BIBF-1120 (derivative),>3000nM
CSNK1A1,BIBF-1120 (derivative),>3000nM
CSNK1A1L,BIBF-1120 (derivative),>3000nM
CSNK1D,BIBF-1120 (derivative),>3000nM
CSNK1E,BIBF-1120 (derivative),>3000nM
CSNK1G1,BIBF-1120 (derivative),>3000nM
CSNK1G2,BIBF-1120 (derivative),>3000nM
CSNK1G3,BIBF-1120 (derivative),>3000nM
CSNK2A1,BIBF-1120 (derivative),>3000nM
CSNK2A2,BIBF-1120 (derivative),>3000nM
CTK,BIBF-1120 (derivative),>3000nM
DAPK1,BIBF-1120 (derivative),>3000nM
DAPK2,BIBF-1120 (derivative),>3000nM
DAPK3,BIBF-1120 (derivative),>3000nM
DCAMKL1,BIBF-1120 (derivative),>3000nM
DCAMKL2,BIBF-1120 (derivative),>3000nM
DCAMKL3,BIBF-1120 (derivative),>3000nM
DDR1,BIBF-1120 (derivative),<3000nM
DDR2,BIBF-1120 (derivative),<3000nM
DLK,BIBF-1120 (derivative),>3000nM
DMPK,BIBF-1120 (derivative),<3000nM
DMPK2,BIBF-1120 (derivative),>3000nM
DRAK1,BIBF-1120 (derivative),>3000nM
DRAK2,BIBF-1120 (derivative),>3000nM
DYRK1A,BIBF-1120 (derivative),<3000nM
DYRK1B,BIBF-1120 (derivative),<3000nM
DYRK2,BIBF-1120 (derivative),>3000nM
EGFR,BIBF-1120 (derivative),>3000nM
EGFR(E746-A750del),BIBF-1120 (derivative),>3000nM
EGFR(G719C),BIBF-1120 (derivative),>3000nM
EGFR(G719S),BIBF-1120 (derivative),>3000nM
"EGFR(L747-E749del, A750P)",BIBF-1120 (derivative),>3000nM
"EGFR(L747-S752del, P753S)",BIBF-1120 (derivative),>3000nM
"EGFR(L747-T751del,Sins)",BIBF-1120 (derivative),>3000nM
EGFR(L858R),BIBF-1120 (derivative),>3000nM
"EGFR(L858R,T790M)",BIBF-1120 (derivative),>3000nM
EGFR(L861Q),BIBF-1120 (derivative),>3000nM
EGFR(S752-I759del),BIBF-1120 (derivative),>3000nM
EGFR(T790M),BIBF-1120 (derivative),>3000nM
EIF2AK1,BIBF-1120 (derivative),>3000nM
EPHA1,BIBF-1120 (derivative),>3000nM
EPHA2,BIBF-1120 (derivative),>3000nM
EPHA3,BIBF-1120 (derivative),>3000nM
EPHA4,BIBF-1120 (derivative),>3000nM
EPHA5,BIBF-1120 (derivative),>3000nM
EPHA6,BIBF-1120 (derivative),>3000nM
EPHA7,BIBF-1120 (derivative),>3000nM
EPHA8,BIBF-1120 (derivative),>3000nM
EPHB1,BIBF-1120 (derivative),>3000nM
EPHB2,BIBF-1120 (derivative),>3000nM
EPHB3,BIBF-1120 (derivative),>3000nM
EPHB4,BIBF-1120 (derivative),>3000nM
EPHB6,BIBF-1120 (derivative),<3000nM
ERBB2,BIBF-1120 (derivative),>3000nM
ERBB3,BIBF-1120 (derivative),>3000nM
ERBB4,BIBF-1120 (derivative),>3000nM
ERK1,BIBF-1120 (derivative),>3000nM
ERK2,BIBF-1120 (derivative),>3000nM
ERK3,BIBF-1120 (derivative),>3000nM
ERK4,BIBF-1120 (derivative),>3000nM
ERK5,BIBF-1120 (derivative),>3000nM
ERK8,BIBF-1120 (derivative),>3000nM
ERN1,BIBF-1120 (derivative),>3000nM
FAK,BIBF-1120 (derivative),>3000nM
FER,BIBF-1120 (derivative),>3000nM
FES,BIBF-1120 (derivative),>3000nM
FGFR1,BIBF-1120 (derivative),<3000nM
FGFR2,BIBF-1120 (derivative),<3000nM
FGFR3,BIBF-1120 (derivative),<3000nM
FGFR3(G697C),BIBF-1120 (derivative),>3000nM
FGFR4,BIBF-1120 (derivative),>3000nM
FGR,BIBF-1120 (derivative),<3000nM
FLT1,BIBF-1120 (derivative),<3000nM
FLT3,BIBF-1120 (derivative),<3000nM
FLT3(D835H),BIBF-1120 (derivative),<3000nM
FLT3(D835Y),BIBF-1120 (derivative),<3000nM
FLT3(ITD),BIBF-1120 (derivative),<3000nM
FLT3(K663Q),BIBF-1120 (derivative),<3000nM
FLT3(N841I),BIBF-1120 (derivative),<3000nM
FLT3(R834Q),BIBF-1120 (derivative),<3000nM
FLT4,BIBF-1120 (derivative),<3000nM
FRK,BIBF-1120 (derivative),<3000nM
FYN,BIBF-1120 (derivative),>3000nM
GAK,BIBF-1120 (derivative),<3000nM
"GCN2(Kin.Dom.2,S808G)",BIBF-1120 (derivative),>3000nM
GRK1,BIBF-1120 (derivative),>3000nM
GRK4,BIBF-1120 (derivative),>3000nM
GRK7,BIBF-1120 (derivative),>3000nM
GSK3A,BIBF-1120 (derivative),>3000nM
GSK3B,BIBF-1120 (derivative),>3000nM
HCK,BIBF-1120 (derivative),<3000nM
HIPK1,BIBF-1120 (derivative),<3000nM
HIPK2,BIBF-1120 (derivative),<3000nM
HIPK3,BIBF-1120 (derivative),<3000nM
HIPK4,BIBF-1120 (derivative),<3000nM
HPK1,BIBF-1120 (derivative),<3000nM
HUNK,BIBF-1120 (derivative),>3000nM
ICK,BIBF-1120 (derivative),>3000nM
IGF1R,BIBF-1120 (derivative),>3000nM
IKK-alpha,BIBF-1120 (derivative),>3000nM
IKK-beta,BIBF-1120 (derivative),>3000nM
IKK-epsilon,BIBF-1120 (derivative),>3000nM
INSR,BIBF-1120 (derivative),>3000nM
INSRR,BIBF-1120 (derivative),>3000nM
IRAK1,BIBF-1120 (derivative),<3000nM
IRAK3,BIBF-1120 (derivative),<3000nM
IRAK4,BIBF-1120 (derivative),>3000nM
ITK,BIBF-1120 (derivative),>3000nM
JAK1(JH1domain-catalytic),BIBF-1120 (derivative),>3000nM
JAK1(JH2domain-pseudokinase),BIBF-1120 (derivative),>3000nM
JAK2(JH1domain-catalytic),BIBF-1120 (derivative),>3000nM
JAK3(JH1domain-catalytic),BIBF-1120 (derivative),<3000nM
JNK1,BIBF-1120 (derivative),>3000nM
JNK2,BIBF-1120 (derivative),>3000nM
JNK3,BIBF-1120 (derivative),<3000nM
KIT,BIBF-1120 (derivative),<3000nM
KIT(A829P),BIBF-1120 (derivative),<3000nM
KIT(D816H),BIBF-1120 (derivative),<3000nM
KIT(D816V),BIBF-1120 (derivative),<3000nM
KIT(L576P),BIBF-1120 (derivative),<3000nM
KIT(V559D),BIBF-1120 (derivative),<3000nM
