Kinase,Compound,Predicted_Kd_Category
FLT3(R834Q),SB-203580,>3000nM
MAP3K15,LY-317615,>3000nM
TNK2,Crizotinib,>3000nM
AKT2,TAE-684,>3000nM
ABL1(Q252H)-phosphorylated,BMS-540215,>3000nM
AMPK-alpha1,TAE-684,>3000nM
PKMYT1,Flavopiridol,>3000nM
CDK4-cyclinD3,Dasatinib,>3000nM
RIPK2,LY-317615,>3000nM
PIK3CA(C420R),PLX-4720,>3000nM
AKT1,AST-487,>3000nM
KIT(A829P),PHA-665752,>3000nM
CSNK1A1,AST-487,>3000nM
CASK,TAE-684,>3000nM
PDPK1,BMS-387032/SNS-032,>3000nM
SBK1,MLN-518,>3000nM
MST3,SGX-523,>3000nM
DLK,Erlotinib,>3000nM
ICK,GSK-690693,>3000nM
ABL1(F317I)-nonphosphorylated,CHIR-258/TKI-258,>3000nM
PRKCH,Dasatinib,>3000nM
RSK4(Kin.Dom.1-N-terminal),R406,>3000nM
ABL1(M351T)-phosphorylated,JNJ-28312141,>3000nM
EPHB4,PHA-665752,>3000nM
EPHB3,SB-203580,>3000nM
CAMK2D,A-674563,>3000nM
ULK3,INCB18424,>3000nM
CASK,PTK-787,>3000nM
PKN1,AST-487,>3000nM
ACVRL1,GSK-690693,>3000nM
EGFR(E746-A750del),Staurosporine,>3000nM
RIPK4,SB-203580,>3000nM
MAP3K3,BMS-387032/SNS-032,>3000nM
MYO3A,Flavopiridol,>3000nM
CDKL5,Erlotinib,>3000nM
PAK3,AZD-2171,>3000nM
ERK1,BMS-387032/SNS-032,>3000nM
CAMK1G,CEP-701,>3000nM
PKAC-beta,Lapatinib,>3000nM
KIT(V559D),CHIR-265/RAF-265,>3000nM
PIK3CA(E542K),R547,>3000nM
VRK2,PLX-4720,>3000nM
PKNB(M.tuberculosis),MLN-120B,>3000nM
"EGFR(L747-E749del, A750P)",AST-487,>3000nM
RET(V804M),BIRB-796,>3000nM
RPS6KA5(Kin.Dom.2-C-terminal),Lapatinib,>3000nM
LRRK2(G2019S),Vandetanib,>3000nM
ABL1(T315I)-phosphorylated,CHIR-265/RAF-265,>3000nM
GSK3B,BMS-387032/SNS-032,>3000nM
EPHB2,JNJ-28312141,>3000nM
BMX,Gefitinib,>3000nM
EPHB1,LY-333531,>3000nM
IKK-epsilon,AG-013736,>3000nM
TAOK3,PHA-665752,>3000nM
AMPK-alpha1,GDC-0879,>3000nM
ANKK1,Nilotinib,>3000nM
RPS6KA5(Kin.Dom.1-N-terminal),CP-690550,>3000nM
TRPM6,A-674563,>3000nM
ERBB4,JNJ-28312141,>3000nM
PIP5K2C,AB-1010,>3000nM
TSSK1B,SB-203580,>3000nM
MLCK,MLN-518,>3000nM
MST2,SB-203580,>3000nM
HIPK2,PLX-4720,>3000nM
PIK3CA(E542K),TAE-684,>3000nM
CSF1R,AZD-6244/ARRY-886,>3000nM
ABL1(Q252H)-phosphorylated,GW-2580,>3000nM
MLK3,PTK-787,>3000nM
TYK2(JH1domain-catalytic),AB-1010,>3000nM
MAK,LY-317615,>3000nM
CDKL5,ABT-869,>3000nM
LKB1,ABT-869,>3000nM
FLT3(R834Q),PTK-787,>3000nM
RIPK4,TAE-684,>3000nM
MEK2,Dasatinib,>3000nM
ABL1(Y253F)-phosphorylated,MLN-8054,>3000nM
PIP5K2B,INCB18424,>3000nM
CHEK2,SGX-523,>3000nM
CDK7,Erlotinib,>3000nM
CDKL2,TG-101348,>3000nM
ROCK1,PLX-4720,>3000nM
JNK2,Staurosporine,>3000nM
HIPK2,LY-317615,>3000nM
STK16,SGX-523,>3000nM
RAF1,LY-317615,>3000nM
CASK,LY-333531,>3000nM
PRKR,INCB18424,>3000nM
RET(M918T),KW-2449,>3000nM
ABL1(Q252H)-nonphosphorylated,MLN-120B,>3000nM
RET(M918T),Imatinib,>3000nM
PIP5K2C,GDC-0941,>3000nM
PIK3CD,KW-2449,>3000nM
TEC,Staurosporine,>3000nM
ANKK1,BMS-540215,>3000nM
ABL1(T315I)-nonphosphorylated,PTK-787,>3000nM
JAK1(JH2domain-pseudokinase),Crizotinib,>3000nM
MKNK2,PTK-787,>3000nM
LKB1,MLN-518,>3000nM
PIK3CA(E542K),CEP-701,>3000nM
RPS6KA4(Kin.Dom.1-N-terminal),AC220,>3000nM
QSK,INCB18424,>3000nM
RSK1(Kin.Dom.2-C-terminal),AB-1010,>3000nM
PLK1,PLX-4720,>3000nM
ERK8,A-674563,>3000nM
"KIT(V559D,T670I)",LY-333531,>3000nM
CAMK1G,GSK-690693,>3000nM
ABL1(M351T)-phosphorylated,GDC-0941,>3000nM
ABL1(H396P)-phosphorylated,GDC-0879,>3000nM
JAK2(JH1domain-catalytic),BMS-345541,>3000nM
SRPK2,AZD-1152HQPA,>3000nM
JAK1(JH1domain-catalytic),KW-2449,>3000nM
CTK,MLN-8054,>3000nM
RSK1(Kin.Dom.1-N-terminal),INCB18424,>3000nM
VEGFR2,AC220,>3000nM
RSK2(Kin.Dom.1-N-terminal),AZD-6244/ARRY-886,>3000nM
CAMKK2,KW-2449,>3000nM
YSK4,SB-203580,>3000nM
TTK,GDC-0941,>3000nM
CDK2,AB-1010,>3000nM
IKK-alpha,TAE-684,>3000nM
TAOK3,GSK-1838705A,>3000nM
ALK,Dasatinib,>3000nM
MEK4,Erlotinib,>3000nM
FLT3(N841I),PP-242,>3000nM
SNARK,SGX-523,>3000nM
ROCK1,AZD-6244/ARRY-886,>3000nM
SYK,BMS-345541,>3000nM
ABL1-phosphorylated,Dasatinib,>3000nM
PIK3CA(E542K),AT-7519,>3000nM
ROCK1,CP-690550,>3000nM
PLK2,GSK-1838705A,>3000nM
PIK3CA(C420R),SGX-523,>3000nM
PFPK5(P.falciparum),PLX-4720,>3000nM
AURKC,PTK-787,>3000nM
PIK3CA(Q546K),HKI-272,>3000nM
TESK1,BMS-345541,>3000nM
LRRK2(G2019S),LY-333531,>3000nM
EGFR(L858R),AZD-2171,>3000nM
PIM2,TG-101348,>3000nM
MST4,PLX-4720,>3000nM
MRCKB,CP-690550,>3000nM
FLT3,A-674563,>3000nM
PIM1,LY-317615,>3000nM
FLT3(D835H),BIBW-2992,>3000nM
EGFR,Erlotinib,>3000nM
PYK2,AC220,>3000nM
NEK5,TG-101348,>3000nM
TGFBR2,R406,>3000nM
FLT3(D835H),Nilotinib,>3000nM
RPS6KA4(Kin.Dom.2-C-terminal),CEP-701,>3000nM
"GCN2(Kin.Dom.2,S808G)",MLN-518,>3000nM
KIT(D816H),PKC-412,>3000nM
MYLK4,PP-242,>3000nM
"KIT(V559D,V654A)",AT-7519,>3000nM
MAP3K4,MLN-8054,>3000nM
RPS6KA5(Kin.Dom.2-C-terminal),TAE-684,>3000nM
EGFR(S752-I759del),Staurosporine,>3000nM
RET(M918T),AG-013736,>3000nM
"KIT(V559D,V654A)",PD-173955,>3000nM
TESK1,SGX-523,>3000nM
CAMK2G,LY-333531,>3000nM
AURKB,LY-317615,>3000nM
JAK2(JH1domain-catalytic),AST-487,>3000nM
ABL1(F317L)-nonphosphorylated,AG-013736,>3000nM
PIM3,TAE-684,>3000nM
TSSK1B,PKC-412,>3000nM
HCK,Gefitinib,>3000nM
JAK2(JH1domain-catalytic),MLN-8054,>3000nM
PIK3CA(E542K),PTK-787,>3000nM
NEK6,Imatinib,>3000nM
ANKK1,AZD-6244/ARRY-886,>3000nM
PIP5K1A,BMS-387032/SNS-032,>3000nM
DAPK2,A-674563,>3000nM
ERBB3,BMS-345541,>3000nM
CSNK1G2,PD-173955,>3000nM
BRSK1,BMS-387032/SNS-032,>3000nM
MRCKB,Flavopiridol,>3000nM
TIE2,BMS-387032/SNS-032,>3000nM
RPS6KA5(Kin.Dom.1-N-terminal),GW-2580,>3000nM
MLK2,BMS-387032/SNS-032,>3000nM
EPHA3,PKC-412,>3000nM
NEK4,PTK-787,>3000nM
OSR1,Pazopanib,>3000nM
TNK2,Ki-20227,>3000nM
TNK1,Pazopanib,>3000nM
SIK2,CP-690550,>3000nM
CDKL1,LY-333531,>3000nM
TGFBR2,PD-173955,>3000nM
CAMKK2,BMS-345541,>3000nM
CSNK1A1L,HKI-272,>3000nM
PIM1,AST-487,>3000nM
AKT1,CEP-701,>3000nM
ABL2,PLX-4720,>3000nM
BRK,PKC-412,>3000nM
INSR,Staurosporine,>3000nM
IRAK4,HKI-272,>3000nM
CDKL3,TG-101348,>3000nM
RSK1(Kin.Dom.1-N-terminal),MLN-8054,>3000nM
MAP3K1,A-674563,>3000nM
CLK4,R547,>3000nM
"EGFR(L747-E749del, A750P)",GSK-690693,>3000nM
CDKL2,MLN-120B,>3000nM
"EGFR(L858R,T790M)",MLN-518,>3000nM
TNK2,PKC-412,>3000nM
HPK1,PKC-412,>3000nM
MAP3K2,MLN-120B,>3000nM
TNK2,AB-1010,>3000nM
MAP3K15,CHIR-258/TKI-258,>3000nM
ABL1(F317I)-nonphosphorylated,A-674563,>3000nM
ABL1(H396P)-phosphorylated,Nilotinib,>3000nM
ERK2,AG-013736,>3000nM
CDC2L5,AZD-1152HQPA,>3000nM
EPHA6,BIBW-2992,>3000nM
STK35,SB-203580,>3000nM
PDGFRB,CHIR-258/TKI-258,>3000nM
ABL1-nonphosphorylated,TG-101348,>3000nM
PIM3,BMS-387032/SNS-032,>3000nM
MRCKB,CEP-701,>3000nM
YANK1,GSK-1838705A,>3000nM
MAP3K1,JNJ-28312141,>3000nM
MAST1,ABT-869,>3000nM
DAPK1,CI-1033,>3000nM
NEK5,Flavopiridol,>3000nM
GRK1,GW-2580,>3000nM
PIP5K1C,PLX-4720,>3000nM
TESK1,MLN-120B,>3000nM
PKNB(M.tuberculosis),PTK-787,>3000nM
MINK,TAE-684,>3000nM
FLT1,Vandetanib,>3000nM
CDK4-cyclinD1,Erlotinib,>3000nM
MAPKAPK2,PHA-665752,>3000nM
PRKCI,SB-203580,>3000nM
NDR2,AZD-2171,>3000nM
RPS6KA5(Kin.Dom.1-N-terminal),JNJ-28312141,>3000nM
STK33,BMS-387032/SNS-032,>3000nM
MARK3,AZD-2171,>3000nM
PRKCQ,BIRB-796,>3000nM
PLK2,CEP-701,>3000nM
PLK1,Pazopanib,>3000nM
PKN1,Dasatinib,>3000nM
PDGFRB,CHIR-265/RAF-265,>3000nM
BRK,Gefitinib,>3000nM
BIKE,CEP-701,>3000nM
STK33,R406,>3000nM
MLCK,Pazopanib,>3000nM
LCK,LY-333531,>3000nM
KIT(L576P),PD-173955,>3000nM
TSSK1B,Imatinib,>3000nM
PRKCD,LY-333531,>3000nM
TGFBR1,BIRB-796,>3000nM
ZAK,AZD-2171,>3000nM
FLT3(N841I),PKC-412,>3000nM
CASK,Staurosporine,>3000nM
PIK3C2G,BMS-387032/SNS-032,>3000nM
ABL1(F317L)-nonphosphorylated,PTK-787,>3000nM
PRKG1,R406,>3000nM
MEK3,AZD-6244/ARRY-886,>3000nM
NIM1,SB-203580,>3000nM
PRKCQ,MLN-518,>3000nM
EPHA3,PLX-4720,>3000nM
"EGFR(L747-S752del, P753S)",MLN-120B,>3000nM
MEK3,KW-2449,>3000nM
DDR2,LY-317615,>3000nM
CAMK1D,Nilotinib,>3000nM
BMX,MLN-120B,>3000nM
GRK1,A-674563,>3000nM
LCK,CEP-701,>3000nM
HPK1,HKI-272,>3000nM
AAK1,GW-2580,>3000nM
MERTK,BMS-345541,>3000nM
HIPK3,LY-317615,>3000nM
HCK,PD-173955,>3000nM
"EGFR(L747-S752del, P753S)",BIRB-796,>3000nM
RIOK1,PP-242,>3000nM
RAF1,AZD-6244/ARRY-886,>3000nM
CDKL1,Crizotinib,>3000nM
RPS6KA4(Kin.Dom.2-C-terminal),Imatinib,>3000nM
CAMK2D,ABT-869,>3000nM
RET(V804L),Dasatinib,>3000nM
ABL1(F317L)-nonphosphorylated,BMS-540215,>3000nM
ERK1,MLN-518,>3000nM
FGFR3,AZD-1152HQPA,>3000nM
DYRK2,LY-333531,>3000nM
TLK2,AG-013736,>3000nM
JNK2,BI-2536,>3000nM
FLT3(K663Q),GSK-1838705A,>3000nM
PIK3CA(H1047L),ABT-869,>3000nM
MELK,R547,>3000nM
PRKCH,PKC-412,>3000nM
PIK3CA(E545K),GSK-1838705A,>3000nM
PAK7,MLN-8054,>3000nM
EPHA4,PHA-665752,>3000nM
MET(M1250T),LY-317615,>3000nM
RSK1(Kin.Dom.2-C-terminal),AG-013736,>3000nM
INSRR,TAE-684,>3000nM
PIM2,INCB18424,>3000nM
RIOK3,Lapatinib,>3000nM
CASK,AC220,>3000nM
EGFR(G719C),TG-101348,>3000nM
LZK,PP-242,>3000nM
TBK1,BIRB-796,>3000nM
WEE2,CP-690550,>3000nM
DAPK1,CHIR-265/RAF-265,>3000nM
MYLK,GDC-0941,>3000nM
ZAP70,BMS-387032/SNS-032,>3000nM
TNNI3K,TG-101348,>3000nM
PLK2,Staurosporine,>3000nM
PFTAIRE2,SB-203580,>3000nM
BLK,GSK-1838705A,>3000nM
ASK2,INCB18424,>3000nM
BRK,Flavopiridol,>3000nM
MAP3K1,CHIR-265/RAF-265,>3000nM
YES,PLX-4720,>3000nM
ACVR2A,INCB18424,>3000nM
LATS2,INCB18424,>3000nM
NEK4,LY-317615,>3000nM
FGFR3(G697C),GSK-690693,>3000nM
ABL1(T315I)-phosphorylated,BI-2536,>3000nM
ACVRL1,MLN-120B,>3000nM
RPS6KA4(Kin.Dom.2-C-terminal),BMS-387032/SNS-032,>3000nM
JAK1(JH2domain-pseudokinase),CI-1033,>3000nM
QSK,PTK-787,>3000nM
CLK4,Lapatinib,>3000nM
NEK4,HKI-272,>3000nM
AURKB,BMS-540215,>3000nM
MYO3B,PKC-412,>3000nM
ACVRL1,BMS-540215,>3000nM
FLT3(K663Q),Flavopiridol,>3000nM
GSK3A,SGX-523,>3000nM
NDR1,PLX-4720,>3000nM
LZK,BMS-387032/SNS-032,>3000nM
RIPK4,INCB18424,>3000nM
YANK3,Imatinib,>3000nM
PAK7,GSK-690693,>3000nM
FGFR1,AZD-2171,>3000nM
PIP5K2B,CP-690550,>3000nM
RIPK2,A-674563,>3000nM
ROCK2,A-674563,>3000nM
DAPK2,BI-2536,>3000nM
DAPK2,Nilotinib,>3000nM
AMPK-alpha2,PTK-787,>3000nM
MERTK,PD-173955,>3000nM
EPHB2,PD-173955,>3000nM
MAP3K15,MLN-120B,>3000nM
LIMK2,LY-333531,>3000nM
PCTK1,Pazopanib,>3000nM
MST3,Pazopanib,>3000nM
MAP3K2,PTK-787,>3000nM
ERK1,Ki-20227,>3000nM
LATS2,BMS-345541,>3000nM
PIK3CB,AC220,>3000nM
PIK3CA,AG-013736,>3000nM
ABL1(F317L)-phosphorylated,CHIR-258/TKI-258,>3000nM
LTK,Lapatinib,>3000nM
MAP4K2,AG-013736,>3000nM
INSRR,GDC-0941,>3000nM
CAMK4,CP-690550,>3000nM
CLK3,GSK-1838705A,>3000nM
p38-gamma,Imatinib,>3000nM
ABL1(F317L)-phosphorylated,BMS-540215,>3000nM
PHKG2,CEP-701,>3000nM
ABL1(Q252H)-nonphosphorylated,PKC-412,>3000nM
KIT(L576P),Lapatinib,>3000nM
CAMK1,KW-2449,>3000nM
CSNK1G3,Gefitinib,>3000nM
STK35,GSK-1838705A,>3000nM
BRSK1,Vandetanib,>3000nM
ABL1(F317I)-nonphosphorylated,PTK-787,>3000nM
ERK3,R547,>3000nM
FYN,A-674563,>3000nM
KIT(L576P),SGX-523,>3000nM
ACVR1,PLX-4720,>3000nM
NEK4,Erlotinib,>3000nM
ERK5,Gefitinib,>3000nM
LRRK2,BMS-540215,>3000nM
DCAMKL2,PTK-787,>3000nM
RPS6KA4(Kin.Dom.1-N-terminal),Ki-20227,>3000nM
BMX,SB-203580,>3000nM
BMPR1B,ABT-869,>3000nM
LTK,TG-101348,>3000nM
FLT3(D835H),TAE-684,>3000nM
TIE2,AG-013736,>3000nM
PIP5K2C,Ki-20227,>3000nM
RPS6KA5(Kin.Dom.1-N-terminal),INCB18424,>3000nM
EPHA6,ABT-869,>3000nM
STK36,Imatinib,>3000nM
GSK3A,TAE-684,>3000nM
CSNK2A1,SB-203580,>3000nM
MAPKAPK2,HKI-272,>3000nM
SYK,HKI-272,>3000nM
MST3,AZD-2171,>3000nM
MLK2,BIBW-2992,>3000nM
PKMYT1,AZD-2171,>3000nM
PIK3CA(H1047Y),GW-2580,>3000nM
PIK3CA(Q546K),BMS-540215,>3000nM
FER,TAE-684,>3000nM
PRKR,BIBW-2992,>3000nM
IRAK4,Erlotinib,>3000nM
PIM2,AZD-6244/ARRY-886,>3000nM
ITK,CHIR-265/RAF-265,>3000nM
MERTK,BIBW-2992,>3000nM
CHEK2,SB-203580,>3000nM
MST1,BMS-345541,>3000nM
RET,MLN-518,>3000nM
PIK3C2G,SB-203580,>3000nM
ASK2,Lapatinib,>3000nM
LOK,LY-333531,>3000nM
CDK8,INCB18424,>3000nM
FGFR3(G697C),MLN-120B,>3000nM
EPHB6,PP-242,>3000nM
CSF1R,Lapatinib,>3000nM
FLT3(K663Q),GSK-690693,>3000nM
KIT(D816H),Lapatinib,>3000nM
WEE2,PKC-412,>3000nM
ERN1,TG-101348,>3000nM
INSR,GSK-1838705A,>3000nM
CSF1R,Vandetanib,>3000nM
GAK,SB-203580,>3000nM
PIK3CA(Q546K),Vandetanib,>3000nM
S6K1,CEP-701,>3000nM
PIK3C2B,KW-2449,>3000nM
TRKB,Staurosporine,>3000nM
KIT(D816H),BMS-540215,>3000nM
ADCK4,Imatinib,>3000nM
ERK5,MLN-120B,>3000nM
ACVR2A,TAE-684,>3000nM
TNIK,CHIR-265/RAF-265,>3000nM
SIK,AC220,>3000nM
KIT(A829P),BMS-540215,>3000nM
DCAMKL3,CHIR-265/RAF-265,>3000nM
NIM1,PKC-412,>3000nM
PKAC-beta,BMS-540215,>3000nM
PDGFRB,BI-2536,>3000nM
EPHA4,AZD-6244/ARRY-886,>3000nM
RIPK5,Gefitinib,>3000nM
ERBB3,LY-333531,>3000nM
MELK,CP-690550,>3000nM
CLK1,GDC-0941,>3000nM
TNNI3K,AG-013736,>3000nM
FLT3(D835H),R547,>3000nM
PIK3CD,ABT-869,>3000nM
MYO3B,AG-013736,>3000nM
EGFR(G719C),PHA-665752,>3000nM
PRKG1,CI-1033,>3000nM
LOK,GDC-0941,>3000nM
TTK,BIRB-796,>3000nM
RIOK2,A-674563,>3000nM
LTK,PP-242,>3000nM
EPHA8,BMS-387032/SNS-032,>3000nM
ABL1(Q252H)-nonphosphorylated,MLN-518,>3000nM
"KIT(V559D,T670I)",Vandetanib,>3000nM
CDC2L1,Pazopanib,>3000nM
SNRK,Imatinib,>3000nM
DRAK1,Crizotinib,>3000nM
DDR1,Lapatinib,>3000nM
DMPK2,BMS-387032/SNS-032,>3000nM
SRC,TAE-684,>3000nM
CDKL1,AT-7519,>3000nM
TGFBR1,Gefitinib,>3000nM
MEK5,MLN-518,>3000nM
CSF1R,LY-333531,>3000nM
ERK8,PHA-665752,>3000nM
ABL1(E255K)-phosphorylated,Nilotinib,>3000nM
AURKC,SGX-523,>3000nM
TLK1,ABT-869,>3000nM
CHEK2,MLN-120B,>3000nM
CAMK2G,Gefitinib,>3000nM
EPHB4,SGX-523,>3000nM
GSK3B,AG-013736,>3000nM
FLT3(ITD),BMS-387032/SNS-032,>3000nM
PIK3CA(M1043I),Vandetanib,>3000nM
HIPK4,CHIR-258/TKI-258,>3000nM
ROCK2,BMS-540215,>3000nM
FYN,AZD-6244/ARRY-886,>3000nM
BMPR1B,CP-690550,>3000nM
PIP5K2B,GSK-1838705A,>3000nM
AKT2,CEP-701,>3000nM
SBK1,AZD-2171,>3000nM
MLK1,Lapatinib,>3000nM
CSNK1G1,CP-690550,>3000nM
NDR1,SB-203580,>3000nM
NEK9,Gefitinib,>3000nM
MYLK,BIBW-2992,>3000nM
HIPK3,GSK-1838705A,>3000nM
CDK11,Staurosporine,>3000nM
ARK5,Crizotinib,>3000nM
PAK6,CHIR-258/TKI-258,>3000nM
CSNK1A1,AZD-2171,>3000nM
PIP5K1C,PD-173955,>3000nM
SBK1,Nilotinib,>3000nM
ABL1(H396P)-phosphorylated,BIBW-2992,>3000nM
PIK3CA(Q546K),GSK-690693,>3000nM
NEK7,BIRB-796,>3000nM
ASK2,R547,>3000nM
TRKB,PD-173955,>3000nM
CSNK1E,MLN-8054,>3000nM
MAP4K3,SB-203580,>3000nM
NDR2,ABT-869,>3000nM
SYK,Ki-20227,>3000nM
MYLK4,PHA-665752,>3000nM
QSK,CHIR-265/RAF-265,>3000nM
PLK2,LY-333531,>3000nM
FLT3(R834Q),Gefitinib,>3000nM
ABL1(T315I)-phosphorylated,MLN-518,>3000nM
SRPK3,Lapatinib,>3000nM
PIK3CA(E542K),AZD-2171,>3000nM
FGFR1,BIBW-2992,>3000nM
MARK4,LY-333531,>3000nM
FLT1,R406,>3000nM
ULK1,KW-2449,>3000nM
RIOK1,MLN-518,>3000nM
LOK,SB-203580,>3000nM
MST2,BI-2536,>3000nM
ACVR2A,PHA-665752,>3000nM
MRCKA,AG-013736,>3000nM
FES,PTK-787,>3000nM
TAK1,AT-7519,>3000nM
MYLK2,CHIR-265/RAF-265,>3000nM
NEK11,AST-487,>3000nM
PIK4CB,R547,>3000nM
DRAK1,GDC-0941,>3000nM
ERK3,GDC-0941,>3000nM
FES,MLN-518,>3000nM
PAK1,TAE-684,>3000nM
TAK1,Lapatinib,>3000nM
RSK3(Kin.Dom.1-N-terminal),BIBW-2992,>3000nM
CTK,TG-101348,>3000nM
SLK,CHIR-258/TKI-258,>3000nM
MARK1,INCB18424,>3000nM
EPHA1,CEP-701,>3000nM
NLK,LY-333531,>3000nM
AKT2,PD-173955,>3000nM
CSK,Crizotinib,>3000nM
"EGFR(L858R,T790M)",BIRB-796,>3000nM
PIK3C2B,PLX-4720,>3000nM
PFTK1,CHIR-265/RAF-265,>3000nM
SNRK,INCB18424,>3000nM
PFPK5(P.falciparum),AZD-2171,>3000nM
MYLK4,BMS-540215,>3000nM
KIT(V559D),PD-173955,>3000nM
DYRK1A,HKI-272,>3000nM
RIPK5,LY-333531,>3000nM
NEK1,GW-2580,>3000nM
MAP4K2,Lapatinib,>3000nM
TAOK1,TG-101348,>3000nM
NIM1,CEP-701,>3000nM
STK35,ABT-869,>3000nM
p38-gamma,BMS-387032/SNS-032,>3000nM
MST4,R406,>3000nM
FGR,CEP-701,>3000nM
ABL1(F317L)-phosphorylated,MLN-518,>3000nM
MAST1,CHIR-258/TKI-258,>3000nM
PRKD1,PKC-412,>3000nM
CSNK1A1L,AZD-1152HQPA,>3000nM
TYK2(JH2domain-pseudokinase),GSK-1838705A,>3000nM
PKAC-alpha,GDC-0941,>3000nM
BMPR1A,CHIR-258/TKI-258,>3000nM
TSSK1B,Crizotinib,>3000nM
FGFR1,CEP-701,>3000nM
WEE1,Dasatinib,>3000nM
MAP3K3,CEP-701,>3000nM
SIK,CEP-701,>3000nM
MAP3K1,AC220,>3000nM
CHEK1,BIBW-2992,>3000nM
DYRK1B,BMS-387032/SNS-032,>3000nM
IGF1R,AZD-1152HQPA,>3000nM
MEK3,AZD-2171,>3000nM
FGFR3,AG-013736,>3000nM
BMX,AC220,>3000nM
