Kinase,Compound,Predicted_Kd_Category
DMPK,A-674563,<300nM
TRKC,Vandetanib,>300nM
MINK,PHA-665752,<300nM
KIT,JNJ-28312141,<300nM
EPHA2,Nilotinib,>300nM
DRAK2,CI-1033,>300nM
PIK3CA,GSK-1838705A,>300nM
PKNB(M.tuberculosis),BIRB-796,>300nM
p38-alpha,PTK-787,>300nM
FGFR3,GDC-0879,>300nM
CAMK2B,Pazopanib,>300nM
CASK,AZD-6244/ARRY-886,>300nM
EIF2AK1,AZD-6244/ARRY-886,>300nM
CDK8,AZD-6244/ARRY-886,>300nM
ABL1-phosphorylated,BIRB-796,<300nM
LZK,JNJ-28312141,<300nM
GRK7,Dasatinib,>300nM
"KIT(V559D,V654A)",HKI-272,>300nM
HPK1,TAE-684,<300nM
DMPK,Lapatinib,>300nM
ADCK3,AZD-1152HQPA,>300nM
MET,PHA-665752,<300nM
CDC2L1,BIRB-796,>300nM
LIMK2,A-674563,>300nM
ADCK3,Pazopanib,>300nM
CDC2L2,AB-1010,>300nM
PCTK1,R547,<300nM
CDKL3,BIRB-796,>300nM
PIK3CD,CP-690550,>300nM
PRKCQ,HKI-272,>300nM
TBK1,HKI-272,>300nM
CDK8,Crizotinib,>300nM
JAK1(JH2domain-pseudokinase),AZD-1152HQPA,>300nM
ABL1(Q252H)-phosphorylated,Pazopanib,<300nM
KIT,CEP-701,<300nM
TAOK1,HKI-272,>300nM
PRKX,Vandetanib,>300nM
FYN,KW-2449,<300nM
RPS6KA4(Kin.Dom.2-C-terminal),PKC-412,<300nM
ABL1(E255K)-phosphorylated,Imatinib,<300nM
LZK,Crizotinib,>300nM
JAK1(JH2domain-pseudokinase),R547,>300nM
FLT3,PKC-412,<300nM
SNARK,BI-2536,>300nM
YES,TG-101348,<300nM
FLT3(R834Q),AZD-1152HQPA,<300nM
AXL,PKC-412,<300nM
CSNK1A1L,TAE-684,>300nM
TAOK2,MLN-8054,>300nM
ACVR1B,Dasatinib,>300nM
PLK1,Ki-20227,>300nM
PIK4CB,TAE-684,<300nM
PCTK3,CEP-701,<300nM
EGFR(T790M),JNJ-28312141,<300nM
PAK7,Vandetanib,>300nM
NIM1,BIRB-796,>300nM
TYK2(JH2domain-pseudokinase),Lapatinib,>300nM
PFTAIRE2,R547,>300nM
MLK3,BI-2536,>300nM
IKK-alpha,Ki-20227,>300nM
NEK9,ABT-869,>300nM
TAOK2,SB-203580,>300nM
CDK3,AZD-1152HQPA,>300nM
RIPK5,KW-2449,<300nM
MAP4K2,HKI-272,<300nM
EGFR(E746-A750del),PTK-787,>300nM
NEK7,AZD-2171,>300nM
TYRO3,PHA-665752,>300nM
TNIK,AZD-6244/ARRY-886,>300nM
CDKL1,ABT-869,>300nM
CDK4-cyclinD1,ABT-869,>300nM
STK39,AT-7519,>300nM
RSK3(Kin.Dom.1-N-terminal),Flavopiridol,<300nM
TGFBR2,Dasatinib,>300nM
KIT(V559D),GDC-0879,>300nM
ABL1(E255K)-phosphorylated,R547,>300nM
STK39,INCB18424,>300nM
MST4,PKC-412,<300nM
MINK,BMS-387032/SNS-032,>300nM
STK39,R547,>300nM
MARK1,GW-2580,>300nM
CLK3,Gefitinib,>300nM
TRKB,TAE-684,<300nM
ANKK1,BIRB-796,>300nM
BMPR2,PTK-787,>300nM
EGFR(L861Q),R547,>300nM
RET(M918T),PTK-787,>300nM
HCK,GW-2580,>300nM
ABL1(H396P)-nonphosphorylated,BMS-540215,<300nM
MYO3B,AC220,>300nM
MYLK2,CHIR-258/TKI-258,<300nM
HIPK2,BIBW-2992,>300nM
JNK2,CP-690550,>300nM
TAK1,Dasatinib,<300nM
PLK2,Pazopanib,>300nM
CSF1R,GDC-0879,>300nM
CIT,LY-333531,<300nM
PIK3CA,Nilotinib,>300nM
YSK1,AZD-6244/ARRY-886,>300nM
RSK4(Kin.Dom.2-C-terminal),AZD-1152HQPA,>300nM
PFTK1,BIBW-2992,>300nM
DAPK3,LY-317615,>300nM
KIT(A829P),TAE-684,<300nM
PKMYT1,A-674563,>300nM
TYK2(JH1domain-catalytic),MLN-8054,>300nM
PIK3CA(E545K),Flavopiridol,>300nM
CAMK1,GDC-0941,>300nM
ERK1,Dasatinib,>300nM
"KIT(V559D,V654A)",A-674563,<300nM
CSNK1A1,BI-2536,>300nM
MST4,Imatinib,>300nM
NDR2,AZD-1152HQPA,>300nM
RSK2(Kin.Dom.1-N-terminal),BIBW-2992,>300nM
MET(Y1235D),BIRB-796,>300nM
CAMK1,A-674563,<300nM
NEK6,R406,<300nM
EPHA2,GW-2580,>300nM
EPHB6,AST-487,<300nM
MKNK1,CI-1033,>300nM
PLK2,AZD-1152HQPA,>300nM
AMPK-alpha1,CHIR-258/TKI-258,>300nM
JNK1,KW-2449,<300nM
PAK7,BIBW-2992,>300nM
PIM2,AC220,>300nM
BMPR1A,Dasatinib,>300nM
NIM1,BMS-540215,>300nM
JAK1(JH2domain-pseudokinase),PLX-4720,>300nM
"KIT(V559D,V654A)",GSK-1838705A,>300nM
ALK,AZD-2171,<300nM
MARK1,BMS-345541,>300nM
PFCDPK1(P.falciparum),BI-2536,>300nM
EPHA3,Dasatinib,<300nM
FLT3(N841I),PD-173955,<300nM
SIK2,TG-101348,<300nM
AMPK-alpha2,R406,<300nM
NEK9,Crizotinib,>300nM
SNRK,MLN-8054,>300nM
CDK7,SGX-523,>300nM
MET(M1250T),GDC-0941,>300nM
PRKD2,PP-242,>300nM
AKT1,Lapatinib,>300nM
PIP5K2B,Gefitinib,>300nM
DLK,PTK-787,>300nM
PKN1,HKI-272,>300nM
EGFR(G719S),LY-317615,>300nM
ABL1(Q252H)-phosphorylated,KW-2449,<300nM
CDK5,AB-1010,>300nM
MEK2,BIBW-2992,>300nM
CDK3,BMS-387032/SNS-032,>300nM
CSK,AZD-6244/ARRY-886,>300nM
CSNK1D,GW-2580,>300nM
CLK2,Ki-20227,>300nM
CAMK1D,INCB18424,>300nM
KIT(L576P),AZD-1152HQPA,<300nM
CSNK1A1,PKC-412,>300nM
PRKR,Crizotinib,>300nM
CHEK1,ABT-869,>300nM
CAMK1D,ABT-869,>300nM
MAST1,HKI-272,>300nM
CDK4-cyclinD1,PLX-4720,>300nM
EPHA4,ABT-869,>300nM
ABL1(H396P)-nonphosphorylated,Lapatinib,>300nM
RET,GDC-0879,>300nM
CSK,CI-1033,>300nM
AKT3,Imatinib,>300nM
DCAMKL1,GW-2580,>300nM
BRSK2,Crizotinib,>300nM
ZAP70,PLX-4720,>300nM
EPHA3,R406,<300nM
STK35,AB-1010,>300nM
BRK,CEP-701,<300nM
TYK2(JH2domain-pseudokinase),AT-7519,>300nM
MELK,GDC-0941,>300nM
MAST1,AB-1010,>300nM
PIK3CA(E542K),PLX-4720,>300nM
"EGFR(L858R,T790M)",INCB18424,>300nM
FGR,TAE-684,<300nM
DAPK3,Staurosporine,<300nM
KIT(D816V),Crizotinib,<300nM
TAOK1,PLX-4720,>300nM
RET,AZD-2171,<300nM
INSR,SB-203580,>300nM
MRCKA,TAE-684,<300nM
LRRK2(G2019S),BIBW-2992,>300nM
NLK,Gefitinib,>300nM
LRRK2(G2019S),LY-317615,>300nM
MEK6,BMS-345541,>300nM
ADCK4,LY-333531,>300nM
PIK3CA(C420R),INCB18424,>300nM
ABL1(T315I)-nonphosphorylated,Ki-20227,<300nM
FYN,Flavopiridol,>300nM
ABL1-phosphorylated,ABT-869,>300nM
PIK3CA(C420R),MLN-8054,>300nM
S6K1,BMS-345541,>300nM
PIK3CA(E542K),Crizotinib,>300nM
MEK5,BMS-387032/SNS-032,<300nM
YANK1,KW-2449,<300nM
EPHB2,AG-013736,>300nM
PIK3CA(C420R),Pazopanib,>300nM
PIP5K2C,ABT-869,>300nM
MET,CI-1033,<300nM
CDC2L1,CEP-701,<300nM
PCTK1,GDC-0941,>300nM
PIK3CA,Staurosporine,>300nM
"EGFR(L747-T751del,Sins)",PLX-4720,>300nM
FLT3(D835H),PLX-4720,<300nM
CASK,BMS-387032/SNS-032,>300nM
MAPKAPK5,LY-333531,>300nM
TRKC,Ki-20227,>300nM
PIK3CA(H1047L),ABT-869,>300nM
PRKG1,LY-333531,>300nM
TLK2,AG-013736,>300nM
GRK4,MLN-518,>300nM
ERK5,AT-7519,>300nM
ADCK4,Crizotinib,>300nM
CDK2,AT-7519,>300nM
"EGFR(L747-T751del,Sins)",Vandetanib,<300nM
ACVR2A,PLX-4720,>300nM
ABL1(M351T)-phosphorylated,PD-173955,<300nM
NEK3,SGX-523,>300nM
ZAP70,CP-690550,>300nM
PCTK2,TG-101348,>300nM
ACVR2B,HKI-272,>300nM
KIT(V559D),R406,<300nM
ULK1,JNJ-28312141,<300nM
SGK3,AZD-2171,>300nM
JAK3(JH1domain-catalytic),BIRB-796,>300nM
SBK1,TAE-684,<300nM
ERK3,CHIR-258/TKI-258,>300nM
RIOK1,Staurosporine,<300nM
MYLK,PHA-665752,>300nM
NEK7,Vandetanib,>300nM
p38-gamma,BMS-387032/SNS-032,>300nM
PLK4,GDC-0941,>300nM
IRAK3,BIRB-796,>300nM
DAPK3,JNJ-28312141,<300nM
"EGFR(L747-T751del,Sins)",SGX-523,>300nM
RSK2(Kin.Dom.1-N-terminal),PHA-665752,>300nM
LIMK2,CHIR-258/TKI-258,>300nM
TLK1,AZD-2171,>300nM
JNK2,Nilotinib,>300nM
BMX,Ki-20227,>300nM
PRKCE,Flavopiridol,>300nM
NEK4,R406,<300nM
PFCDPK1(P.falciparum),Staurosporine,<300nM
LIMK2,LY-333531,>300nM
SRPK2,CI-1033,>300nM
STK39,AG-013736,>300nM
CDK5,R406,<300nM
PIP5K2C,CEP-701,<300nM
RSK1(Kin.Dom.2-C-terminal),Imatinib,>300nM
PCTK3,CI-1033,>300nM
CSNK1E,PD-173955,>300nM
CSNK1A1,AZD-2171,>300nM
MEK2,CEP-701,<300nM
JNK2,GSK-690693,>300nM
FLT3(D835H),BMS-540215,>300nM
FYN,Vandetanib,<300nM
CSNK1G1,Nilotinib,>300nM
PIK3CB,Ki-20227,>300nM
MKNK1,MLN-120B,>300nM
PIK3CB,Imatinib,>300nM
PYK2,CHIR-265/RAF-265,>300nM
AMPK-alpha2,Crizotinib,>300nM
HCK,MLN-8054,<300nM
HIPK3,BMS-540215,>300nM
TYRO3,CI-1033,>300nM
DYRK1B,AG-013736,<300nM
EPHB1,R547,>300nM
FLT1,HKI-272,>300nM
DDR2,Staurosporine,<300nM
PLK2,GDC-0879,>300nM
PIK3CA(Q546K),Ki-20227,>300nM
SNRK,GSK-690693,>300nM
PFTK1,CI-1033,>300nM
TEC,PD-173955,<300nM
BRK,BMS-345541,>300nM
SIK2,Vandetanib,>300nM
LOK,KW-2449,<300nM
RPS6KA5(Kin.Dom.1-N-terminal),Ki-20227,>300nM
PRKG1,ABT-869,>300nM
RIOK3,CHIR-258/TKI-258,<300nM
NEK2,AZD-6244/ARRY-886,>300nM
EPHB2,GSK-690693,>300nM
MRCKB,AC220,>300nM
MAP3K1,AZD-2171,>300nM
ADCK3,PKC-412,>300nM
YSK1,Staurosporine,<300nM
FLT3(D835H),LY-317615,<300nM
ADCK4,Pazopanib,>300nM
CDK4-cyclinD1,PP-242,>300nM
MARK4,CP-690550,>300nM
ABL1(E255K)-phosphorylated,PLX-4720,<300nM
MAP4K2,Vandetanib,<300nM
MAPKAPK5,CHIR-265/RAF-265,>300nM
PKN2,KW-2449,<300nM
MAPKAPK5,CEP-701,<300nM
ACVR2B,PKC-412,>300nM
TNK2,TG-101348,<300nM
DMPK2,CP-690550,>300nM
TNIK,R547,>300nM
PIK3CA(E545A),Ki-20227,>300nM
CLK3,Erlotinib,>300nM
PFTAIRE2,INCB18424,>300nM
"GCN2(Kin.Dom.2,S808G)",CEP-701,<300nM
ROS1,BI-2536,>300nM
GSK3B,Imatinib,>300nM
MAPKAPK5,ABT-869,>300nM
IRAK1,R406,<300nM
CIT,Nilotinib,>300nM
CAMK4,CP-690550,>300nM
"KIT(V559D,V654A)",CHIR-258/TKI-258,<300nM
RPS6KA4(Kin.Dom.1-N-terminal),PD-173955,>300nM
MET(M1250T),LY-333531,>300nM
EPHB4,MLN-518,>300nM
AKT1,KW-2449,>300nM
MEK3,Staurosporine,<300nM
JNK3,AST-487,<300nM
ERBB3,MLN-518,>300nM
ACVR1B,LY-317615,>300nM
YSK1,CHIR-265/RAF-265,>300nM
EGFR,Ki-20227,>300nM
AMPK-alpha2,AT-7519,>300nM
MKNK1,AZD-6244/ARRY-886,>300nM
CLK3,AZD-2171,>300nM
ABL1(M351T)-phosphorylated,Nilotinib,<300nM
FLT3(D835H),GSK-690693,>300nM
EPHA1,LY-333531,>300nM
IKK-alpha,CEP-701,<300nM
LATS2,AZD-1152HQPA,>300nM
EPHA3,AZD-1152HQPA,>300nM
TEC,PKC-412,>300nM
EPHA5,Gefitinib,>300nM
CDKL2,CI-1033,>300nM
DDR2,LY-333531,>300nM
LATS2,BMS-387032/SNS-032,>300nM
ABL1-phosphorylated,Lapatinib,>300nM
DRAK1,GSK-1838705A,>300nM
MAP3K4,Crizotinib,>300nM
p38-beta,AZD-6244/ARRY-886,>300nM
EPHA7,Crizotinib,<300nM
SgK110,Nilotinib,>300nM
CLK1,CI-1033,>300nM
NIM1,Flavopiridol,>300nM
MYLK,GSK-690693,>300nM
DAPK1,Dasatinib,>300nM
MYO3B,Staurosporine,<300nM
MARK3,BMS-387032/SNS-032,>300nM
MAP4K3,R547,>300nM
CDKL3,LY-317615,>300nM
PRKCQ,Crizotinib,>300nM
NEK7,Gefitinib,>300nM
DCAMKL2,A-674563,>300nM
KIT,CHIR-265/RAF-265,<300nM
ITK,AB-1010,>300nM
TRKC,CHIR-258/TKI-258,<300nM
INSRR,LY-317615,>300nM
PLK4,Lapatinib,>300nM
IRAK4,AZD-1152HQPA,>300nM
IRAK3,CI-1033,<300nM
ASK1,R547,>300nM
PIK4CB,R547,>300nM
IRAK1,Pazopanib,<300nM
RSK4(Kin.Dom.2-C-terminal),JNJ-28312141,<300nM
PIK3C2B,Crizotinib,>300nM
ERK8,PLX-4720,>300nM
FLT3(ITD),PTK-787,>300nM
STK36,Ki-20227,>300nM
PRKD3,LY-333531,>300nM
EPHA7,SB-203580,>300nM
ABL1(F317L)-nonphosphorylated,AC220,>300nM
FLT3(K663Q),AT-7519,>300nM
PFTAIRE2,ABT-869,>300nM
RIPK4,CP-690550,>300nM
HIPK1,Nilotinib,>300nM
CAMK1G,KW-2449,<300nM
PLK1,BI-2536,>300nM
HIPK3,Nilotinib,>300nM
ERBB2,GSK-1838705A,>300nM
FGR,CI-1033,<300nM
WEE1,AC220,>300nM
FAK,Imatinib,>300nM
FES,Erlotinib,>300nM
RSK1(Kin.Dom.1-N-terminal),Nilotinib,>300nM
INSR,Flavopiridol,>300nM
PKN2,AT-7519,>300nM
PIK3CA(H1047L),CP-690550,>300nM
ADCK3,PD-173955,>300nM
MET(Y1235D),HKI-272,>300nM
DYRK1B,MLN-8054,>300nM
CASK,Flavopiridol,>300nM
CAMK4,BIRB-796,>300nM
MEK5,BI-2536,<300nM
RET(V804L),GDC-0941,>300nM
DYRK1A,LY-317615,<300nM
CDC2L1,R547,>300nM
p38-alpha,BMS-345541,>300nM
MAPKAPK2,AST-487,>300nM
TBK1,Lapatinib,>300nM
TGFBR1,AZD-1152HQPA,>300nM
CDK3,GDC-0879,>300nM
DDR1,JNJ-28312141,<300nM
FGFR2,BIBW-2992,>300nM
PFTAIRE2,PHA-665752,>300nM
JNK1,GSK-690693,>300nM
"EGFR(L747-S752del, P753S)",PP-242,<300nM
DYRK1B,BIRB-796,>300nM
ABL1(F317I)-phosphorylated,GW-2580,>300nM
KIT(A829P),PP-242,<300nM
MERTK,INCB18424,>300nM
FGFR3,GDC-0941,>300nM
CDKL3,GSK-690693,>300nM
PKN1,PLX-4720,>300nM
FES,CP-690550,>300nM
PIK3CA(E542K),R406,>300nM
DYRK1A,MLN-518,>300nM
PIK3CA(I800L),GW-2580,>300nM
RIPK4,PD-173955,>300nM
CAMK2G,BIBW-2992,>300nM
LKB1,AZD-6244/ARRY-886,>300nM
MYLK,AZD-6244/ARRY-886,>300nM
FLT3(D835H),Nilotinib,>300nM
CSF1R,PD-173955,<300nM
ABL1(F317I)-nonphosphorylated,BMS-345541,>300nM
SRC,AG-013736,<300nM
EGFR(G719C),Dasatinib,<300nM
ABL1(F317I)-nonphosphorylated,A-674563,>300nM
PIK3CA(M1043I),GDC-0879,>300nM
MEK1,SB-203580,>300nM
MTOR,MLN-8054,>300nM
DYRK2,Pazopanib,>300nM
MLCK,Dasatinib,>300nM
PRKG1,A-674563,>300nM
ABL1(F317I)-phosphorylated,BIBW-2992,<300nM
PRKR,TAE-684,<300nM
ABL1(Y253F)-phosphorylated,R406,<300nM
SBK1,PD-173955,>300nM
NLK,Ki-20227,>300nM
AMPK-alpha2,AB-1010,>300nM
IRAK4,Gefitinib,>300nM
EGFR(L858R),CI-1033,<300nM
ABL1(F317L)-phosphorylated,CHIR-258/TKI-258,<300nM
MEK3,BI-2536,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),Dasatinib,>300nM
CSNK2A2,TG-101348,<300nM
CDK5,BMS-345541,>300nM
EGFR(G719C),Ki-20227,>300nM
PIP5K2C,CP-690550,>300nM
LYN,Staurosporine,<300nM
PIK3C2B,BIBW-2992,>300nM
MRCKA,GSK-1838705A,>300nM
MARK4,AB-1010,>300nM
TNIK,BI-2536,<300nM
AKT3,PLX-4720,>300nM
PIK3CB,CHIR-258/TKI-258,>300nM
SYK,INCB18424,>300nM
BTK,PLX-4720,>300nM
PAK7,BI-2536,>300nM
MST4,AST-487,<300nM
SRC,AZD-6244/ARRY-886,>300nM
FLT3,GSK-1838705A,>300nM
JAK1(JH2domain-pseudokinase),GDC-0941,>300nM
PIK3CA(Q546K),AB-1010,>300nM
MAP4K2,MLN-120B,>300nM
FLT3(D835Y),PD-173955,<300nM
FLT4,Flavopiridol,>300nM
LATS1,Vandetanib,>300nM
MET(M1250T),Gefitinib,>300nM
GRK4,PTK-787,>300nM
AXL,Imatinib,>300nM
SRPK2,GSK-690693,>300nM
RET(V804L),BIRB-796,<300nM
ASK2,SGX-523,>300nM
PFTAIRE2,CHIR-265/RAF-265,>300nM
PAK2,MLN-8054,>300nM
"EGFR(L858R,T790M)",LY-333531,>300nM
TGFBR1,AZD-6244/ARRY-886,>300nM
SLK,Imatinib,>300nM
ERK8,Lapatinib,>300nM
NDR1,KW-2449,>300nM
HPK1,GW-2580,>300nM
ICK,MLN-518,>300nM
RET(V804M),LY-317615,>300nM
RSK1(Kin.Dom.2-C-terminal),INCB18424,<300nM
MEK5,GSK-690693,<300nM
MARK1,KW-2449,<300nM
MYO3A,Flavopiridol,>300nM
NLK,MLN-518,>300nM
CDK3,R406,>300nM
KIT(D816V),CEP-701,<300nM
KIT(D816V),AZD-6244/ARRY-886,>300nM
ABL1(E255K)-phosphorylated,Ki-20227,<300nM
TXK,CI-1033,>300nM
BTK,AB-1010,>300nM
STK39,Flavopiridol,>300nM
PAK1,BIBW-2992,>300nM
RIPK4,Nilotinib,>300nM
MST1,Pazopanib,>300nM
ERBB4,GW-2580,>300nM
p38-gamma,AZD-1152HQPA,>300nM
TNK1,Ki-20227,>300nM
MST1,AZD-6244/ARRY-886,>300nM
ERK2,CI-1033,>300nM
ABL1(T315I)-nonphosphorylated,AT-7519,>300nM
ABL1(Q252H)-phosphorylated,MLN-8054,<300nM
NEK3,PD-173955,>300nM
ACVRL1,BMS-387032/SNS-032,>300nM
YSK1,Gefitinib,>300nM
CDK5,Nilotinib,>300nM
TSSK1B,Imatinib,>300nM
SRMS,SB-203580,>300nM
HIPK3,TAE-684,<300nM
DDR2,LY-317615,>300nM
CTK,LY-317615,>300nM
MST3,Nilotinib,>300nM
CTK,AG-013736,>300nM
"EGFR(L747-T751del,Sins)",GSK-1838705A,>300nM
MYO3A,AZD-1152HQPA,>300nM
TRKA,PD-173955,<300nM
TAK1,BMS-345541,>300nM
ABL1-phosphorylated,AZD-6244/ARRY-886,>300nM
MAP4K2,BIRB-796,>300nM
ASK1,BIRB-796,>300nM
LZK,GW-2580,>300nM
FLT4,R547,>300nM
DCAMKL2,SB-203580,>300nM
TAOK2,GSK-1838705A,>300nM
FLT3(ITD),AT-7519,>300nM
RIPK2,HKI-272,<300nM
HCK,PTK-787,>300nM
SRPK3,R547,>300nM
LCK,MLN-8054,<300nM
PAK1,KW-2449,<300nM
CDKL5,ABT-869,>300nM
MST1R,ABT-869,>300nM
CDK3,LY-333531,>300nM
EPHB6,BMS-540215,>300nM
ABL1(F317I)-phosphorylated,AZD-6244/ARRY-886,>300nM
MAP4K4,R406,<300nM
CASK,HKI-272,>300nM
VRK2,SB-203580,>300nM
KIT(V559D),Staurosporine,<300nM
JAK1(JH1domain-catalytic),Crizotinib,<300nM
PLK3,GSK-690693,>300nM
TAOK1,SGX-523,>300nM
NEK5,Gefitinib,>300nM
PIK3CA(M1043I),CHIR-265/RAF-265,>300nM
BRSK2,BMS-540215,>300nM
PIP5K1A,JNJ-28312141,>300nM
CAMK2B,Gefitinib,>300nM
INSRR,CP-690550,>300nM
INSR,BI-2536,>300nM
ACVR2B,Vandetanib,>300nM
MAP4K5,GDC-0941,>300nM
SGK3,HKI-272,>300nM
CDK5,SGX-523,>300nM
LKB1,Nilotinib,>300nM
ABL1-phosphorylated,BMS-345541,>300nM
TNK2,AZD-6244/ARRY-886,>300nM
EGFR,JNJ-28312141,<300nM
"KIT(V559D,T670I)",CHIR-258/TKI-258,<300nM
EPHA7,BMS-387032/SNS-032,>300nM
KIT(A829P),LY-333531,>300nM
ABL1(Q252H)-phosphorylated,PKC-412,<300nM
CDK3,AZD-6244/ARRY-886,>300nM
ERBB3,JNJ-28312141,>300nM
MARK3,JNJ-28312141,>300nM
YANK1,AG-013736,>300nM
EPHA3,CHIR-265/RAF-265,>300nM
CAMK2D,Ki-20227,>300nM
MAP4K3,Crizotinib,<300nM
ROS1,R406,<300nM
EPHB6,AC220,>300nM
CDKL2,GSK-690693,>300nM
ACVR2A,BMS-345541,>300nM
MTOR,SB-203580,>300nM
NEK11,CP-690550,>300nM
LATS2,CHIR-265/RAF-265,>300nM
PKNB(M.tuberculosis),AZD-1152HQPA,>300nM
NDR2,Vandetanib,>300nM
ABL1(Y253F)-phosphorylated,AST-487,<300nM
TYK2(JH1domain-catalytic),Dasatinib,<300nM
PIK3CG,AC220,>300nM
ERN1,TAE-684,<300nM
RET(V804L),KW-2449,<300nM
FLT3(K663Q),GW-2580,>300nM
RIPK1,PD-173955,>300nM
ABL1(M351T)-phosphorylated,BIBW-2992,<300nM
TLK1,BMS-387032/SNS-032,>300nM
YANK1,TG-101348,<300nM
TGFBR2,AB-1010,>300nM
PIK3CA,Gefitinib,>300nM
"EGFR(L858R,T790M)",GDC-0941,>300nM
PIK3CA(Q546K),Vandetanib,>300nM
PRKG2,INCB18424,>300nM
KIT(D816H),Gefitinib,<300nM
MEK5,MLN-518,>300nM
MST4,BMS-345541,>300nM
PKAC-alpha,CHIR-258/TKI-258,>300nM
LZK,A-674563,>300nM
YANK2,TAE-684,<300nM
CSNK1D,AZD-1152HQPA,>300nM
NDR2,AB-1010,>300nM
ABL1(F317L)-phosphorylated,Imatinib,<300nM
PKAC-beta,HKI-272,>300nM
RIOK3,BMS-540215,>300nM
IKK-epsilon,Dasatinib,>300nM
BRK,GW-2580,>300nM
DYRK1B,AC220,>300nM
EPHA4,GDC-0879,>300nM
ABL1(F317I)-nonphosphorylated,BIBW-2992,<300nM
MEK5,SB-203580,<300nM
PYK2,Dasatinib,<300nM
RET(V804L),ABT-869,<300nM
RET(V804L),Gefitinib,>300nM
FLT3(R834Q),GW-2580,>300nM
YES,GDC-0941,>300nM
PIK4CB,BIRB-796,>300nM
EGFR(G719C),TAE-684,<300nM
PAK2,R547,>300nM
HIPK4,Lapatinib,>300nM
JNK1,SGX-523,>300nM
KIT(D816V),BIBW-2992,>300nM
ABL1-phosphorylated,JNJ-28312141,<300nM
TLK1,CP-690550,>300nM
MELK,Vandetanib,>300nM
FLT3(D835H),KW-2449,<300nM
FES,PP-242,<300nM
ERK4,SGX-523,>300nM
ABL1-phosphorylated,BMS-387032/SNS-032,>300nM
CAMK4,Nilotinib,>300nM
NEK1,Dasatinib,>300nM
TYK2(JH1domain-catalytic),BIRB-796,>300nM
"EGFR(L747-T751del,Sins)",CHIR-265/RAF-265,>300nM
MYO3A,TAE-684,>300nM
DYRK1A,R406,<300nM
EGFR,Pazopanib,>300nM
CLK2,CI-1033,>300nM
ITK,Crizotinib,>300nM
CDK8,PKC-412,>300nM
PIK3CA(E542K),INCB18424,>300nM
TYRO3,GDC-0941,>300nM
ZAK,GDC-0941,>300nM
ABL1-phosphorylated,KW-2449,<300nM
"EGFR(L747-T751del,Sins)",Gefitinib,<300nM
NEK1,Imatinib,>300nM
MEK3,MLN-8054,>300nM
MAP3K1,Imatinib,>300nM
PRP4,R406,<300nM
MERTK,AZD-2171,<300nM
NEK7,CEP-701,<300nM
CAMK2B,TAE-684,>300nM
ABL1(F317L)-nonphosphorylated,BMS-345541,>300nM
MARK4,INCB18424,>300nM
CAMK2B,AG-013736,>300nM
NDR1,AC220,>300nM
FGR,AZD-6244/ARRY-886,>300nM
MELK,CP-690550,>300nM
CSNK1G1,Dasatinib,>300nM
EGFR(L858R),AG-013736,>300nM
