Kinase,Compound,Predicted_Kd_Category
PIP5K1C,PLX-4720,>300nM
TESK1,MLN-120B,>300nM
PKNB(M.tuberculosis),PTK-787,>300nM
MINK,TAE-684,>300nM
FLT1,Vandetanib,>300nM
CDK4-cyclinD1,Erlotinib,>300nM
MAPKAPK2,PHA-665752,>300nM
PRKCI,SB-203580,>300nM
NDR2,AZD-2171,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),JNJ-28312141,>300nM
STK33,BMS-387032/SNS-032,>300nM
MARK3,AZD-2171,>300nM
PRKCQ,BIRB-796,>300nM
PLK2,CEP-701,>300nM
PLK1,Pazopanib,>300nM
PKN1,Dasatinib,>300nM
PDGFRB,CHIR-265/RAF-265,>300nM
BRK,Gefitinib,>300nM
BIKE,CEP-701,<300nM
STK33,R406,<300nM
MLCK,Pazopanib,>300nM
LCK,LY-333531,>300nM
KIT(L576P),PD-173955,<300nM
TSSK1B,Imatinib,>300nM
PRKCD,LY-333531,<300nM
TGFBR1,BIRB-796,>300nM
ZAK,AZD-2171,>300nM
FLT3(N841I),PKC-412,<300nM
CASK,Staurosporine,<300nM
PIK3C2G,BMS-387032/SNS-032,>300nM
ABL1(F317L)-nonphosphorylated,PTK-787,>300nM
PRKG1,R406,>300nM
MEK3,AZD-6244/ARRY-886,>300nM
NIM1,SB-203580,>300nM
PRKCQ,MLN-518,>300nM
EPHA3,PLX-4720,>300nM
"EGFR(L747-S752del, P753S)",MLN-120B,>300nM
MEK3,KW-2449,>300nM
DDR2,LY-317615,>300nM
CAMK1D,Nilotinib,>300nM
BMX,MLN-120B,>300nM
GRK1,A-674563,>300nM
LCK,CEP-701,<300nM
HPK1,HKI-272,>300nM
AAK1,GW-2580,>300nM
MERTK,BMS-345541,>300nM
HIPK3,LY-317615,<300nM
HCK,PD-173955,>300nM
"EGFR(L747-S752del, P753S)",BIRB-796,>300nM
RIOK1,PP-242,>300nM
RAF1,AZD-6244/ARRY-886,>300nM
CDKL1,Crizotinib,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),Imatinib,>300nM
CAMK2D,ABT-869,>300nM
RET(V804L),Dasatinib,>300nM
ABL1(F317L)-nonphosphorylated,BMS-540215,>300nM
ERK1,MLN-518,>300nM
FGFR3,AZD-1152HQPA,>300nM
DYRK2,LY-333531,>300nM
TLK2,AG-013736,>300nM
JNK2,BI-2536,>300nM
FLT3(K663Q),GSK-1838705A,>300nM
PIK3CA(H1047L),ABT-869,>300nM
MELK,R547,>300nM
PRKCH,PKC-412,>300nM
PIK3CA(E545K),GSK-1838705A,>300nM
PAK7,MLN-8054,>300nM
EPHA4,PHA-665752,>300nM
MET(M1250T),LY-317615,>300nM
RSK1(Kin.Dom.2-C-terminal),AG-013736,>300nM
INSRR,TAE-684,>300nM
PIM2,INCB18424,>300nM
RIOK3,Lapatinib,>300nM
CASK,AC220,>300nM
EGFR(G719C),TG-101348,>300nM
LZK,PP-242,>300nM
TBK1,BIRB-796,>300nM
WEE2,CP-690550,>300nM
DAPK1,CHIR-265/RAF-265,>300nM
MYLK,GDC-0941,>300nM
ZAP70,BMS-387032/SNS-032,>300nM
TNNI3K,TG-101348,>300nM
PLK2,Staurosporine,>300nM
PFTAIRE2,SB-203580,>300nM
BLK,GSK-1838705A,>300nM
ASK2,INCB18424,>300nM
BRK,Flavopiridol,>300nM
MAP3K1,CHIR-265/RAF-265,>300nM
YES,PLX-4720,>300nM
ACVR2A,INCB18424,>300nM
LATS2,INCB18424,>300nM
NEK4,LY-317615,>300nM
FGFR3(G697C),GSK-690693,>300nM
ABL1(T315I)-phosphorylated,BI-2536,>300nM
ACVRL1,MLN-120B,>300nM
RPS6KA4(Kin.Dom.2-C-terminal),BMS-387032/SNS-032,>300nM
JAK1(JH2domain-pseudokinase),CI-1033,>300nM
QSK,PTK-787,>300nM
CLK4,Lapatinib,>300nM
NEK4,HKI-272,>300nM
AURKB,BMS-540215,>300nM
MYO3B,PKC-412,>300nM
ACVRL1,BMS-540215,>300nM
FLT3(K663Q),Flavopiridol,>300nM
GSK3A,SGX-523,>300nM
NDR1,PLX-4720,>300nM
LZK,BMS-387032/SNS-032,>300nM
RIPK4,INCB18424,>300nM
YANK3,Imatinib,>300nM
PAK7,GSK-690693,>300nM
FGFR1,AZD-2171,>300nM
PIP5K2B,CP-690550,>300nM
RIPK2,A-674563,>300nM
ROCK2,A-674563,>300nM
DAPK2,BI-2536,>300nM
DAPK2,Nilotinib,>300nM
AMPK-alpha2,PTK-787,>300nM
MERTK,PD-173955,>300nM
EPHB2,PD-173955,>300nM
MAP3K15,MLN-120B,>300nM
LIMK2,LY-333531,>300nM
PCTK1,Pazopanib,>300nM
MST3,Pazopanib,>300nM
MAP3K2,PTK-787,>300nM
ERK1,Ki-20227,>300nM
LATS2,BMS-345541,>300nM
PIK3CB,AC220,>300nM
PIK3CA,AG-013736,>300nM
ABL1(F317L)-phosphorylated,CHIR-258/TKI-258,<300nM
LTK,Lapatinib,>300nM
MAP4K2,AG-013736,>300nM
INSRR,GDC-0941,>300nM
CAMK4,CP-690550,>300nM
CLK3,GSK-1838705A,>300nM
p38-gamma,Imatinib,>300nM
ABL1(F317L)-phosphorylated,BMS-540215,>300nM
PHKG2,CEP-701,>300nM
ABL1(Q252H)-nonphosphorylated,PKC-412,>300nM
KIT(L576P),Lapatinib,>300nM
CAMK1,KW-2449,>300nM
CSNK1G3,Gefitinib,>300nM
STK35,GSK-1838705A,>300nM
BRSK1,Vandetanib,>300nM
ABL1(F317I)-nonphosphorylated,PTK-787,>300nM
ERK3,R547,>300nM
FYN,A-674563,>300nM
KIT(L576P),SGX-523,>300nM
ACVR1,PLX-4720,>300nM
NEK4,Erlotinib,>300nM
ERK5,Gefitinib,>300nM
LRRK2,BMS-540215,>300nM
DCAMKL2,PTK-787,>300nM
RPS6KA4(Kin.Dom.1-N-terminal),Ki-20227,>300nM
BMX,SB-203580,>300nM
BMPR1B,ABT-869,>300nM
LTK,TG-101348,>300nM
FLT3(D835H),TAE-684,<300nM
TIE2,AG-013736,>300nM
PIP5K2C,Ki-20227,>300nM
RPS6KA5(Kin.Dom.1-N-terminal),INCB18424,>300nM
EPHA6,ABT-869,>300nM
STK36,Imatinib,>300nM
GSK3A,TAE-684,>300nM
CSNK2A1,SB-203580,>300nM
MAPKAPK2,HKI-272,>300nM
SYK,HKI-272,>300nM
MST3,AZD-2171,>300nM
MLK2,BIBW-2992,>300nM
PKMYT1,AZD-2171,>300nM
PIK3CA(H1047Y),GW-2580,>300nM
PIK3CA(Q546K),BMS-540215,>300nM
FER,TAE-684,<300nM
PRKR,BIBW-2992,>300nM
IRAK4,Erlotinib,>300nM
PIM2,AZD-6244/ARRY-886,>300nM
ITK,CHIR-265/RAF-265,>300nM
MERTK,BIBW-2992,>300nM
CHEK2,SB-203580,>300nM
MST1,BMS-345541,>300nM
RET,MLN-518,>300nM
PIK3C2G,SB-203580,>300nM
ASK2,Lapatinib,>300nM
LOK,LY-333531,>300nM
CDK8,INCB18424,>300nM
FGFR3(G697C),MLN-120B,>300nM
EPHB6,PP-242,>300nM
CSF1R,Lapatinib,>300nM
FLT3(K663Q),GSK-690693,>300nM
KIT(D816H),Lapatinib,>300nM
WEE2,PKC-412,>300nM
ERN1,TG-101348,>300nM
INSR,GSK-1838705A,>300nM
CSF1R,Vandetanib,<300nM
GAK,SB-203580,>300nM
PIK3CA(Q546K),Vandetanib,>300nM
S6K1,CEP-701,>300nM
PIK3C2B,KW-2449,>300nM
TRKB,Staurosporine,<300nM
KIT(D816H),BMS-540215,>300nM
ADCK4,Imatinib,>300nM
ERK5,MLN-120B,>300nM
ACVR2A,TAE-684,<300nM
TNIK,CHIR-265/RAF-265,>300nM
SIK,AC220,>300nM
KIT(A829P),BMS-540215,>300nM
DCAMKL3,CHIR-265/RAF-265,>300nM
NIM1,PKC-412,>300nM
PKAC-beta,BMS-540215,>300nM
PDGFRB,BI-2536,>300nM
EPHA4,AZD-6244/ARRY-886,>300nM
RIPK5,Gefitinib,>300nM
ERBB3,LY-333531,>300nM
MELK,CP-690550,>300nM
CLK1,GDC-0941,>300nM
TNNI3K,AG-013736,>300nM
FLT3(D835H),R547,>300nM
PIK3CD,ABT-869,>300nM
MYO3B,AG-013736,>300nM
EGFR(G719C),PHA-665752,>300nM
PRKG1,CI-1033,>300nM
LOK,GDC-0941,>300nM
TTK,BIRB-796,>300nM
RIOK2,A-674563,>300nM
LTK,PP-242,>300nM
EPHA8,BMS-387032/SNS-032,>300nM
ABL1(Q252H)-nonphosphorylated,MLN-518,>300nM
"KIT(V559D,T670I)",Vandetanib,<300nM
CDC2L1,Pazopanib,>300nM
SNRK,Imatinib,>300nM
DRAK1,Crizotinib,>300nM
DDR1,Lapatinib,>300nM
DMPK2,BMS-387032/SNS-032,>300nM
SRC,TAE-684,<300nM
CDKL1,AT-7519,>300nM
TGFBR1,Gefitinib,>300nM
MEK5,MLN-518,>300nM
CSF1R,LY-333531,>300nM
ERK8,PHA-665752,>300nM
ABL1(E255K)-phosphorylated,Nilotinib,<300nM
AURKC,SGX-523,>300nM
TLK1,ABT-869,>300nM
CHEK2,MLN-120B,>300nM
CAMK2G,Gefitinib,>300nM
EPHB4,SGX-523,>300nM
GSK3B,AG-013736,>300nM
FLT3(ITD),BMS-387032/SNS-032,>300nM
PIK3CA(M1043I),Vandetanib,>300nM
HIPK4,CHIR-258/TKI-258,>300nM
ROCK2,BMS-540215,>300nM
FYN,AZD-6244/ARRY-886,>300nM
BMPR1B,CP-690550,>300nM
PIP5K2B,GSK-1838705A,>300nM
AKT2,CEP-701,>300nM
SBK1,AZD-2171,>300nM
MLK1,Lapatinib,>300nM
CSNK1G1,CP-690550,>300nM
NDR1,SB-203580,>300nM
NEK9,Gefitinib,>300nM
MYLK,BIBW-2992,>300nM
HIPK3,GSK-1838705A,>300nM
CDK11,Staurosporine,>300nM
ARK5,Crizotinib,>300nM
PAK6,CHIR-258/TKI-258,>300nM
CSNK1A1,AZD-2171,>300nM
PIP5K1C,PD-173955,>300nM
SBK1,Nilotinib,>300nM
ABL1(H396P)-phosphorylated,BIBW-2992,>300nM
PIK3CA(Q546K),GSK-690693,>300nM
NEK7,BIRB-796,>300nM
ASK2,R547,>300nM
TRKB,PD-173955,<300nM
CSNK1E,MLN-8054,>300nM
MAP4K3,SB-203580,>300nM
NDR2,ABT-869,>300nM
SYK,Ki-20227,>300nM
MYLK4,PHA-665752,>300nM
QSK,CHIR-265/RAF-265,>300nM
PLK2,LY-333531,>300nM
FLT3(R834Q),Gefitinib,>300nM
ABL1(T315I)-phosphorylated,MLN-518,>300nM
SRPK3,Lapatinib,>300nM
PIK3CA(E542K),AZD-2171,>300nM
FGFR1,BIBW-2992,>300nM
MARK4,LY-333531,>300nM
FLT1,R406,<300nM
ULK1,KW-2449,>300nM
RIOK1,MLN-518,>300nM
LOK,SB-203580,>300nM
MST2,BI-2536,>300nM
ACVR2A,PHA-665752,>300nM
MRCKA,AG-013736,>300nM
FES,PTK-787,>300nM
TAK1,AT-7519,>300nM
MYLK2,CHIR-265/RAF-265,>300nM
NEK11,AST-487,>300nM
PIK4CB,R547,>300nM
DRAK1,GDC-0941,>300nM
ERK3,GDC-0941,>300nM
FES,MLN-518,>300nM
PAK1,TAE-684,>300nM
TAK1,Lapatinib,>300nM
RSK3(Kin.Dom.1-N-terminal),BIBW-2992,>300nM
CTK,TG-101348,>300nM
SLK,CHIR-258/TKI-258,>300nM
MARK1,INCB18424,>300nM
EPHA1,CEP-701,<300nM
NLK,LY-333531,>300nM
AKT2,PD-173955,>300nM
CSK,Crizotinib,>300nM
"EGFR(L858R,T790M)",BIRB-796,>300nM
PIK3C2B,PLX-4720,>300nM
PFTK1,CHIR-265/RAF-265,>300nM
SNRK,INCB18424,>300nM
PFPK5(P.falciparum),AZD-2171,>300nM
MYLK4,BMS-540215,>300nM
KIT(V559D),PD-173955,<300nM
DYRK1A,HKI-272,>300nM
RIPK5,LY-333531,>300nM
NEK1,GW-2580,>300nM
MAP4K2,Lapatinib,>300nM
TAOK1,TG-101348,>300nM
NIM1,CEP-701,<300nM
STK35,ABT-869,>300nM
p38-gamma,BMS-387032/SNS-032,>300nM
MST4,R406,>300nM
FGR,CEP-701,<300nM
ABL1(F317L)-phosphorylated,MLN-518,>300nM
MAST1,CHIR-258/TKI-258,>300nM
PRKD1,PKC-412,>300nM
CSNK1A1L,AZD-1152HQPA,>300nM
TYK2(JH2domain-pseudokinase),GSK-1838705A,>300nM
PKAC-alpha,GDC-0941,>300nM
BMPR1A,CHIR-258/TKI-258,>300nM
TSSK1B,Crizotinib,>300nM
FGFR1,CEP-701,>300nM
WEE1,Dasatinib,<300nM
MAP3K3,CEP-701,<300nM
SIK,CEP-701,<300nM
MAP3K1,AC220,>300nM
CHEK1,BIBW-2992,>300nM
DYRK1B,BMS-387032/SNS-032,>300nM
IGF1R,AZD-1152HQPA,>300nM
MEK3,AZD-2171,>300nM
FGFR3,AG-013736,<300nM
BMX,AC220,>300nM
PCTK3,R406,>300nM
PFCDPK1(P.falciparum),Vandetanib,>300nM
MINK,GSK-1838705A,>300nM
OSR1,AZD-2171,>300nM
MYLK4,Lapatinib,>300nM
WEE1,MLN-518,>300nM
IRAK4,AZD-6244/ARRY-886,>300nM
IGF1R,GDC-0941,>300nM
JAK1(JH2domain-pseudokinase),HKI-272,>300nM
FES,Flavopiridol,>300nM
CDK5,KW-2449,>300nM
ABL1(Q252H)-phosphorylated,Pazopanib,>300nM
PAK3,HKI-272,<300nM
TAOK1,CHIR-258/TKI-258,>300nM
MST2,GDC-0879,>300nM
ICK,Imatinib,>300nM
SLK,PLX-4720,>300nM
YANK3,BMS-345541,>300nM
FRK,CI-1033,>300nM
BRK,GDC-0879,>300nM
FGFR4,JNJ-28312141,>300nM
NLK,Erlotinib,>300nM
CAMK1D,JNJ-28312141,>300nM
PIP5K2B,ABT-869,>300nM
YES,TAE-684,<300nM
RSK2(Kin.Dom.1-N-terminal),PD-173955,>300nM
ABL1(H396P)-phosphorylated,PKC-412,>300nM
"EGFR(L858R,T790M)",JNJ-28312141,>300nM
STK36,Gefitinib,>300nM
CAMK2D,GW-2580,>300nM
CDK4-cyclinD3,CHIR-258/TKI-258,>300nM
MYO3B,HKI-272,>300nM
MARK2,A-674563,>300nM
HIPK1,PLX-4720,>300nM
